Proposed Energy Conservation Measures for Buildings,,,,,,,,,,,,,,,,
,Type,Energy Conservation Measure Name,Short Description of ECM,Controls Based,Interaction of ECMs,How Modelled?,Costed?,Cost Units,Reference or Source for assumptions , Long Description of ECM / for Modelling,Cold Lake Audit Notes (Matthew's),Comments,Application Rate,Implementation,Miscellaneous / Other Benefits,4 Wing Comments?
11.0,Heating,Supply air temperature reset control  ,"In AHUs or RTUs, this control lowers the supply air temperature to more accurately match the space heating load, based on measuring the return air temperature. Saves on heating , cooling  and re-heat energy.",yes,,OS,yes,,Is a standard control sequence in the NECB 2011,"In AHUs or RTUs, reduces the supply air temperature or reheat temperature based on measuring return air temperature  to match the heating load more closely  as indoor conditions change. Saves  on heating, cooling and reheat energy. ",, , % of buildings or floor space this ECM applies to ,,,
12.0,Heating,Retro-commissioning of HVAC systems ,"Includes the re-calibration of thermostats and re-tuning  of all the controls in AHUs and RTUs. This saves on electrical, heating and cooling energy.",no,Not to overlap with the other control ECMs,manual,"yes, for two measures",,Used ASRHAE  Energy Efficiency Guides for Existing Commercial Buildings. ,"Re-calibrating of thermostats in occupied spaces and retuning of all of the controls within the AHUs and RTUs to ensure that the sequence of operations and settings (valve, damper, temperatures, sensors) are within design specifications",Col d Lake has a need to update the missing documentation on building controls,Empirical data is found in the  PNNL 2012 Study on Commercial Building Re-tuning , % of buildings or floor space this ECM applies to ,, Zero energy dead band setpoints in heat/cool HVAC equipment so to avoid simultaneous heating and cooling …,
13.0,Heating,Nighttime temperature setback ,"Using a programmable thermostat or BAS, the space temperature is lowered by 2°C  during unoccupied hours and brought back up 2°C before occupied hours. This reduces the amount of heating.",yes,,OS,yes,,2°C was agreed to be reasonable,Reduction in the heating setpoint by 2°C for unoccupied hours (assumes a zero setback strategy currently exists),"Various technicians, building occupants and CE staff  indicated reluctance to set back temperature at night due to previous issues with comfort, recovery time and the risk of freezing the building.  There is potential in some spaces (e.g. unit heaters on thermostats). Difficulty recovering temperature in older buildings. ","We could assume there is potential in 25% (?) of spaces.  Due to the climate and comfort, we did not recommend the occupied hours temperature reduction recommended for Trenton.", % of buildings or floor space this ECM applies to ,,Digital programmable thermostat would be needed for Barracks with perimeter convectors and  Braukmann thermostat controls.,
14.0,DHW Heating,Replacement of electric hot water tanks with gas-fired hot water tanks,Replacement of  electric hot water tanks with gas-fired hot water tanks.  This saves on energy costs and GHGs.,no,,OS,yes,,"Assume an E.F. for the electric (EF 0.92, 100% s.s.) and for the gas hot water tank (EF 0.67. 80% s.s.).  seasonal efficiency.  Use MNECB 1997 daily occupant or space DHW consumption and draw profile.",Replacement of  electric hot water tanks with gas-fired hot water tanks.  This saves on energy costs and GHGs in Alberta since the GHG factor for natural gas is lower than the factor for electricity. , Many electric DHW tanks were observed in audited buildings, , % of buildings or floor space this ECM applies to ,Must consider the existing capacity of  gas pipe  and proximity of nearest gas pipe to the electric hot water tank.,"because electricity is five times more expensive, consider gas-fired DHW to save operating cost and GHG emissions",
15.0,DHW Heating,Drainwater heat recovery for Barracks,A copper drain pipe device (a gravity film exchanger) recovers the heat  - mainly from shower drainwater - and transfers it to the cold domestic water as it flows into the hot water tank. This saves on DHW heating energy.,yes,,manual. not modelled for Trenton. There is a DWHR module in EnergyPlus,no,,Use MNECB 1997 daily occupant or space DHW consumption and draw profile.,same as short description,Potential in the barracks.  A main drainwater pipe is close by to the DHW Heater.,Matthew could estimate the cost, % of buildings or floor space this ECM applies to ,,,
16.0,DES,Replacement of  building steam converters with hot water heat exchangers  ,"To accommodate a new DES using low temperature hot water, the existing steam ""converters"" in buildings would need to be replaced with  hot water heat exchangers.",no,,manual,yes,,Not applicable,same as short description, ,"Is this considered an ""ECM""?", % of buildings or floor space this ECM applies to ,,,
17.0,Cooling,Cold deck reset control,"During mechanical cooling, supply air temperature is reset based upon the return air temperature and the outdoor air temperature to ensure the space does not overcool resulting in possible reheat energy. This saves on cooling energy and possibly reheat energy.",yes,impact reduced via compressor upgrade or replacement of cooling,OS,yes,,"Assuming a constant supply air temperature, as per MNECB 1997","During mechanical cooling, supply air temperature is reset based upon the return air temperature and the outdoor air temperature to ensure the space does not overcool resulting in possible reheat energy.  Savings are due to reduced mechanical cooling and some fan energy. Adjust the stages of cooling or the refrigerant valve in response to the return air temperature. Prevents over-cooling of space",Observed only DX cooling during audits,, % of buildings or floor space this ECM applies to ,,,
18.0,Cooling, Upgrade of compressors in cooling/air conditioning ,Replace the compressors in  cooling condensers and air conditioners with the latest energy efficient compressors. This saves on electricity. ,no,overlap with replacement of cooling  ,OS,yes,,"Start with a COP of 2.5 in V3 and V4, and  COP 3.0 in V1 and V2 based on typical MNECB 1997 values",Replacement of the AHU and RTU compressor only with a new scroll compressor (COP 4.0) using R-410A refrigerant.  Existing compressors are assumed to be COP 2.5 for all pre-2004 buildings and COP 3.0 for all post-2004 buildings.,The average age of condensers is estimated to be 15 years old.  ,The cost to upgrade < 5 ton compressors was similar to replacing the entire outdoor section of a mini-split air conditioner. See ECM below, % of buildings or floor space this ECM applies to ,,,
19.0,Cooling, Replacement of  cooling section of an AHU or RTU.  Or replacement of the whole RTU. ,"Replace the  DX equipment (both the condenser section and evaporator coil) or an entire RTU with a new energy efficient model. Saves on heating, cooling and electricity through better COP, furnace efficiency and more advanced controls.",no,overlap with compressor upgrade,not modelled for Trenton. could be modelled in OS,"We costed RTU total replacement, and AHU replacement. But equipment cost is likely to be similar for replacing only the DX section",,"Start with a COP of 2.5 in V3 and V4, and  COP 3.0 in V1 and V2 based on typical MNECB 1997 values","Complete replacement of the direct expansion (DX) unit within an AHU or RTU, or replacing a DX/furnace RTU with a high efficiency unit. ",,Applies also to mini-split air conditioners: outdoor section would be replaced with a new higher COP model. Use the cost estimate from the compressor ECM above, % of buildings or floor space this ECM applies to ,"For RTUs an alternate to this ECM could be the Advanced RTU Controller 'Catalyst' that combines fan speed, economizer and DCV controls and saves 25% to 50%.  The COP would not improve but everything else would.",,
20.0,Building Envelope,Air tightening of the building envelope ,"Sealing or weather-stripping of roofs, walls, windows, doors, and all penetrations through the building envelope.  This reduces cold air entering the building (infiltration) and warm air escaping (exfiltration). Saves on heating and cooling.",no,"Reduces building heat loss, reducing impact of other heating ECMs",OS,yes,,US Military study of blower door test results and modified to our vintages,"Foaming of envelope penetrations and junctions, weather-stripping of doors to reduce leakage levels to 0.27 air changes per hour at normal pressure from the assumed leakage rates per vintage and building type.  Pre-1960s buildings = 1.0 air changes per hour, 1960-1979 buildings = 0.6 air changes per hour, 1980-2004 buildings = 0.44 air changes per hour, post-2004 = 0.27 air changes per hour.  If building type contained overhead doors, space containing overhead door assumed increased air leakage of 50%.  ",,"Is air leakage unknowingly being used for ventilation? Will a tighter building envelope affect air quality and create a need for more ventilation, thus costing more in equipment and fan power?  ", % of buildings or floor space this ECM applies to ,A blower door test  is required to determine actual conditions. Could draft proof and test buildings at the same time. , ,
21.0,REC Centre,Special/Unique ECMs for the REC Centre ,"Write up noting the typical measures and associated savings. Specific measures for Ice plant (floating compressor head control), IR camera for ice surface temperature, flood water treatment, pool pump turbidity-controlled VSPs, DCV during winter.ECMs that are unique to the REC Centre.  The other ECMs on this sheet apply to the REC Centre.",yes,,not modelled for Trenton. Will not model special/unique measures,no,,"MNECB, retrofit case studies, figures from Raymond’s previous study in a similar sized REC centre ",same as short description,570 kW demand noted during the audit,Rec Centre is  approximately 9% of heated buildings floor area,, ,,
22.0, Centralized BAS Control, Control Centre for Building Automation Systems ,Centralized monitoring and control of each building's BAS systems. ,yes,,not modelled,no,,"literature, case studies ",,"The technician staff are interested in implementing this system before any building control-type ECMs are attempted. There would be poor acceptance without the ability to monitor the HVAC systems. There are already many comfort issues. There is resistance to alter the current control settings and not enough staff to implement, test and monitor. ",Base should update the missing documentation on existing BAS systems. This would be a first step to undertaking a retro-commissioning program. Base recently hired companies to update controls in 3 buildings. MCW updated a lot of buildings controls in 2001. ,,"We could cite the O&M benefits to EMS such as predictive maintenance, alarms. ",Would a central BAS control save energy?   ,
