method,lighting_primary_space_type,lighting_secondary_space_type,lighting_power_density,unit,rcr_threshold,automatic_daylight_responsive_controls_for_sidelighting,automatic_daylight_responsive_controls_for_toplighting,automatic_partial_off,automatic_full_off,scheduled_shutoff,annotation
CS,Lounge/Breakroom,Healthcare Facility,0.78,W/ft2,6,REQ,REQ,,REQ,,
CS,Corridor,Hospital,0.92,W/ft2,,REQ,REQ,ADD2,ADD2,ADD2,
CS,Lobby,Hotel,1.06,W/ft2,4,REQ,REQ,,ADD2,ADD2,
CS,Audience Seating Area,Performing Arts Theater,2.03,W/ft2,8,,REQ,REQ,,ADD2,ADD2
CS,Laboratory,In Or As A Classroom,1.2,W/ft2,6,REQ,REQ,REQ,ADD2,ADD2,
CS,Corridor,Manufacturing Facility,0.29,W/ft2,,REQ,REQ,,ADD2,ADD2,
CS,Audience Seating Area,Religious Facility,1.53,W/ft2,4,,REQ,REQ,,ADD2,ADD2
CS,Lobby,Motion Picture Theater,0.45,W/ft2,4,REQ,REQ,,ADD2,ADD2,
CS,Office,Open Plan,0.81,W/ft2,4,REQ,REQ,,ADD2,ADD2,
CS,Classroom/lecture Hall/training Room,Penitentiary,1.34,W/ft2,4,REQ,REQ,,REQ,,
CS,Dining Area,Penitentiary,0.96,W/ft2,6,REQ,REQ,,ADD2,ADD2,
CS,Lobby,Performing Arts Theater,1.7,W/ft2,6,REQ,REQ,REQ,ADD2,ADD2,
CS,Audience Seating Area,Sports Arena,0.43,W/ft2,4,,REQ,REQ,,ADD2,ADD2
SS,Transportation Facility,Airport Concourse,0.31,W/ft2,4,REQ,REQ,,ADD2,ADD2,
SS,Transportation Facility,Baggage/carousel Area,0.46,W/ft2,4,REQ,REQ,,ADD2,ADD2,
SS,Facility For The Visually Impaired,Chapel (used Primarily By Residents),1.06,W/ft2,4,REQ,REQ,,ADD2,ADD2,
SS,Sports Arena—playing Area,Class I Facility,2.47,W/ft2,4,REQ,REQ,,ADD2,ADD2,
SS,Sports Arena—playing Area,Class II Facility,1.96,W/ft2,4,REQ,REQ,,ADD2,ADD2,
SS,Sports Arena—playing Area,Class Iii Facility,1.7,W/ft2,4,REQ,REQ,,ADD2,ADD2,
SS,Sports Arena—playing Area,Class Iv Facility,1.13,W/ft2,4,REQ,REQ,,ADD2,ADD2,
SS,Manufacturing Facility,Detailed Manufacturing Area,0.93,W/ft2,4,REQ,REQ,,ADD2,ADD2,
SS,Retail Facilities,Dressing/Fitting Room,0.5,W/ft2,8,,REQ,,REQ,,
SS,Manufacturing Facility,Equipment Room,0.65,W/ft2,6,REQ,REQ,,ADD2,ADD2,
SS,Healthcare Facility,Exam/treatment Room,1.68,W/ft2,8,REQ,REQ,,ADD2,ADD2,
SS,Gymnasium/fitness Center,Exercise Area,0.5,W/ft2,4,REQ,REQ,,ADD2,ADD2,
SS,Manufacturing Facility,Extra High Bay Area (>50 Ft Floor-to-ceiling Height),1.05,W/ft2,4,REQ,REQ,,ADD2,ADD2,
SS,Religious Facility,Fellowship Hall,0.55,W/ft2,4,REQ,REQ,,ADD2,ADD2,
SS,Automotive,General,0.56,W/ft2,4,REQ,REQ,,ADD2,ADD2,
SS,Convention Center—exhibit Space,General,0.88,W/ft2,4,REQ,REQ,,ADD2,ADD2,
SS,Dormitory—living Quarters,General,0.54,W/ft2,8,,,,,,
SS,Fire Station—sleeping Quarters,General,0.2,W/ft2,6,,,,,,
SS,Performing Arts Theater—dressing Room,General,0.36,W/ft2,6,REQ,REQ,,REQ,,
SS,Post Office—sorting Area,General,0.68,W/ft2,4,REQ,REQ,REQ,ADD2,ADD2,
SS,Museum,General Exhibition Area,1.05,W/ft2,6,REQ,REQ,,ADD2,ADD2,
SS,Manufacturing Facility,High Bay Area (25 To 50 Ft Floor-to-ceiling Height),0.75,W/ft2,4,REQ,REQ,,ADD2,ADD2,
SS,Healthcare Facility,Imaging Room,1.06,W/ft2,6,,,,ADD2,ADD2,
SS,Manufacturing Facility,Low Bay Area (<25 Ft Floor-to-ceiling Height),0.96,W/ft2,4,REQ,REQ,,ADD2,ADD2,
SS,Retail Facilities,Mall Concourse,0.9,W/ft2,4,REQ,REQ,,ADD2,ADD2,
SS,Healthcare Facility,Medical Supply Room,0.54,W/ft2,6,REQ,REQ,REQ,ADD2,ADD2,
SS,Warehouse—storage Area,"Medium To Bulky, Palletized Items",0.35,W/ft2,4,REQ,REQ,REQ,ADD2,ADD2,
SS,Healthcare Facility,Nurse’s Station,0.81,W/ft2,6,REQ,REQ,,ADD2,ADD2,
SS,Healthcare Facility,Nursery,1,W/ft2,6,REQ,REQ,,ADD2,ADD2,
SS,Healthcare Facility,Operating Room,2.17,W/ft2,6,,,,ADD2,ADD2,
SS,Healthcare Facility,Patient Room,0.62,W/ft2,6,REQ,REQ,,ADD2,ADD2,
SS,Healthcare Facility,Physical Therapy Room,0.84,W/ft2,6,REQ,REQ,,ADD2,ADD2,
SS,Gymnasium/fitness Center,Playing Area,0.82,W/ft2,4,REQ,REQ,,ADD2,ADD2,
SS,Library,Reading Area,0.82,W/ft2,4,REQ,REQ,,ADD2,ADD2,
SS,Healthcare Facility,Recovery Room,1.03,W/ft2,6,REQ,REQ,,ADD2,ADD2,
SS,Facility For The Visually Impaired,Recreation Room/common Living Room (and Not Used Primarily By Staff),1.8,W/ft2,6,REQ,REQ,,ADD2,ADD2,
SS,Museum,Restoration Room,0.85,W/ft2,6,REQ,REQ,,ADD2,ADD2,
SS,Retail,Sales Additional (type 1),0.45,W/ft2,4,REQ,REQ,,ADD2,ADD2,
SS,Retail,Sales Additional (type 2),0.45,W/ft2,4,REQ,REQ,,ADD2,ADD2,
SS,Retail,Sales Additional (type 3),1.05,W/ft2,4,REQ,REQ,,ADD2,ADD2,
SS,Retail,Sales Additional (type 4),1.88,W/ft2,4,REQ,REQ,,ADD2,ADD2,
SS,Warehouse—storage Area,"Smaller, Hand-carried Items",0.69,W/ft2,6,REQ,REQ,REQ,ADD2,ADD2,
SS,Library,Stacks,1.2,W/ft2,4,REQ,REQ,REQ,ADD2,ADD2,
SS,Transportation Facility,Terminal Ticket Counter,0.62,W/ft2,4,REQ,REQ,,ADD2,ADD2,
SS,Religious Facility,Worship/Pulpit/Choir Area,1.53,W/ft2,4,REQ,REQ,,ADD2,ADD2,
SS,None,None,0,W/ft2,,,,,,,
