method,lighting_primary_space_type,lighting_secondary_space_type,lighting_power_density,unit,rcr_threshold,automatic_daylight_responsive_controls_for_sidelighting,automatic_daylight_responsive_controls_for_toplighting,automatic_partial_off,automatic_full_off,scheduled_shutoff,annotation
CS,Corridor,all other corridors,0.66,W/ft2,,REQ,REQ,REQ,ADD2,ADD2,rcr_threshold: width<8 ft
CS,Dining Area,all other dining areas,0.65,W/ft2,4,REQ,REQ,,ADD2,ADD2,
CS,Laboratory,all other laboratories,1.81,W/ft2,6,REQ,REQ,,ADD2,ADD2,
CS,Lobby,all other lobbies,0.9,W/ft2,4,REQ,REQ,REQ,ADD2,ADD2,
CS,Lounge/Breakroom,all other lounges/breakrooms,0.73,W/ft2,4,REQ,REQ,,REQ,,
CS,Restroom,all other restrooms,0.98,W/ft2,8,REQ,REQ,,REQ,,
CS,Storage Room,all other storage rooms,0.63,W/ft2,6,REQ,REQ,REQ,ADD2,ADD2,
CS,Office,enclosed and >250 ft2,1.11,W/ft2,8,REQ,REQ,,ADD2,,
CS,Office,enclosed and lt 250 ft2,1.11,W/ft2,8,REQ,REQ,,REQ,,
CS,Lobby,for an elevator,0.64,W/ft2,6,REQ,REQ,,ADD2,ADD2,
CS,Audience/seating Area,in an auditorium,0.63,W/ft2,6,REQ,REQ,,ADD2,ADD2,
CS,Audience/seating Area,in a convention center,0.82,W/ft2,4,REQ,REQ,,ADD2,ADD2,
CS,"Seating Area, General",General,0.54,W/ft2,4,REQ,REQ,,ADD2,ADD2,
CS,Audience/seating Area,in a gymnasium,0.65,W/ft2,6,REQ,REQ,,ADD2,ADD2,
CS,Audience/seating Area,in a motion picture theater,1.14,W/ft2,4,REQ,REQ,,ADD2,ADD2,
CS,Banking Activity Area,General,1.01,W/ft2,6,REQ,REQ,,ADD2,ADD2,
CS,Breakroom,General,0.73,W/ft2,4,REQ,REQ,,REQ,,
CS,Computer Room,General,1.71,W/ft2,4,REQ,REQ,,ADD2,ADD2,
CS,Conference/meeting/multipurpose Room,General,1.23,W/ft2,6,REQ,REQ,,REQ,,
CS,Confinement Cells,General,0.81,W/ft2,6,REQ,REQ,,ADD2,ADD2,
CS,Copy/Print Room,General,0.72,W/ft2,6,REQ,REQ,,REQ,,
CS,Courtroom,General,1.72,W/ft2,6,REQ,REQ,,ADD2,ADD2,
CS,Electrical/Mechanical Room,General,0.42,W/ft2,6,REQ,REQ,,,,
CS,Emergency Vehicle Garage,General,0.56,W/ft2,4,REQ,REQ,,ADD2,ADD2,
CS,Food Preparation Area,General,1.21,W/ft2,6,REQ,REQ,,ADD2,ADD2,
CS,Guest Room,General,0.91,W/ft2,6,,,,REQ,,See Section 9.4.1.3b
CS,Laundry/Washing Area,General,0.6,W/ft2,4,REQ,REQ,,ADD2,ADD2,
CS,"Loading Dock, Interior",General,0.47,W/ft2,6,REQ,REQ,,ADD2,ADD2,
CS,Locker Room,General,0.75,W/ft2,6,REQ,REQ,,REQ,,
CS,"Parking Area, Interior",General,0.19,W/ft2,4,,,REQ,,,See Section 9.4.1.2
CS,Pharmacy Area,General,1.68,W/ft2,6,REQ,REQ,,ADD2,ADD2,
CS,Sales Area,General,1.44,W/ft2,6,,REQ,,ADD2,ADD2,
CS,Audience/seating Area,in a penitentiary,0.28,W/ft2,4,REQ,REQ,,ADD2,ADD2,
CS,Stairway,General,0.69,W/ft2,10,REQ,REQ,REQ,ADD2,ADD2,
CS,Stairwell,General,0.69,W/ft2,10,REQ,REQ,REQ,ADD2,ADD2,
CS,Vehicular Maintenance Area,General,0.67,W/ft2,4,REQ,REQ,,ADD2,ADD2,
CS,Workshop,General,1.59,W/ft2,6,REQ,REQ,,ADD2,ADD2,
CS,Dining Area,in a facility for the visually impaired (and not used primarily by staff),2.65,W/ft2,4,REQ,REQ,,ADD2,ADD2,
CS,Corridor,in a facility for the visually impaired (and not used primarily by the staff),0.92,W/ft2,,REQ,REQ,REQ,ADD2,ADD2,rcr_threshold: width<8 ft
CS,Lobby,in a facility for the visually impaired (and not used primarily by the staff),1.8,W/ft2,4,REQ,REQ,REQ,ADD2,ADD2,
CS,Restroom,in a facility for the visually impaired (and not used primarily by the staff),1.21,W/ft2,8,REQ,REQ,,REQ,,
CS,Lounge/Breakroom,in a healthcare facility,0.92,W/ft2,6,REQ,REQ,,REQ,,
CS,Corridor,in a hospital,0.99,W/ft2,,REQ,REQ,ADD2,ADD2,ADD2,rcr_threshold: width<8 ft
CS,Lobby,in a hotel,1.06,W/ft2,4,REQ,REQ,,ADD2,ADD2,
CS,Corridor,in a manufacturing facility,0.41,W/ft2,,REQ,REQ,,ADD2,ADD2,rcr_threshold: width<8 ft
CS,Lobby,in a motion picture theater,0.59,W/ft2,4,REQ,REQ,,ADD2,ADD2,
CS,Audience/seating Area,in a performing arts theater,2.43,W/ft2,8,REQ,REQ,,ADD2,ADD2,
CS,Classroom/Lecture Hall/Training Room,in a penitentiary,1.34,W/ft2,4,REQ,REQ,,REQ,,
CS,Dining Area,in a penitentiary,0.96,W/ft2,6,REQ,REQ,,ADD2,ADD2,
CS,Lobby,in a performing arts theater,2,W/ft2,6,REQ,REQ,REQ,ADD2,ADD2,
CS,Dining Area,in bar/lounge or leisure dining,1.07,W/ft2,4,REQ,REQ,,ADD2,ADD2,
CS,Dining Area,in cafeteria or fast food dining,0.65,W/ft2,4,REQ,REQ,,ADD2,ADD2,
CS,Dining Area,in family dining,0.89,W/ft2,4,REQ,REQ,,ADD2,ADD2,
CS,Laboratory,in or as a classroom,1.43,W/ft2,6,REQ,REQ,REQ,ADD2,ADD2,
CS,Audience/seating Area,in a religious building,1.53,W/ft2,4,REQ,REQ,,ADD2,ADD2,
CS,Office,open plan,0.98,W/ft2,4,REQ,REQ,,ADD2,ADD2,
CS,Audience/seating Area,in a sports arena,0.43,W/ft2,4,REQ,REQ,,ADD2,ADD2,
SS,Religious Buildings,a worship/pulpit/choir area,1.53,W/ft2,4,REQ,REQ,,ADD2,ADD2,
SS,Transportation Facility,at a terminal ticket counter,0.8,W/ft2,4,REQ,REQ,,ADD2,ADD2,
SS,Sports Arena Playing Area,for a Class I facility,3.68,W/ft2,4,REQ,REQ,,ADD2,ADD2,
SS,Sports Arena Playing Area,for a Class II facility,2.4,W/ft2,4,REQ,REQ,,ADD2,ADD2,
SS,Sports Arena Playing Area,for a Class III facility,1.8,W/ft2,4,REQ,REQ,,ADD2,ADD2,
SS,Sports Arena Playing Area,for a Class IV facility,1.2,W/ft2,4,REQ,REQ,,ADD2,ADD2,
SS,Warehouse storage Area,"for medium to bulky, palletized items",0.58,W/ft2,4,REQ,REQ,REQ,ADD2,ADD2,
SS,Warehouse storage Area,"for smaller, hand-carried items",0.95,W/ft2,6,REQ,REQ,REQ,ADD2,ADD2,
SS,Automotive,General,0.67,W/ft2,4,REQ,REQ,,ADD2,ADD2,
SS,Convention Center Exhibit Space,General,1.45,W/ft2,4,REQ,REQ,,ADD2,ADD2,
SS,Dormitory Living Quarters,General,0.38,W/ft2,8,,,,,,
SS,Fire Station Sleeping Quarters,General,0.22,W/ft2,6,,,,,,
SS,Performing Arts Theater Dressing Room,General,0.61,W/ft2,6,REQ,REQ,,REQ,,
SS,Post Office Sorting Area,General,0.94,W/ft2,4,REQ,REQ,REQ,ADD2,ADD2,
SS,Transportation Facility,in a baggage/carousel area,0.53,W/ft2,4,REQ,REQ,,ADD2,ADD2,
SS,Facility For The Visually Impaired,in a chapel (used primarily by residents),2.21,W/ft2,4,REQ,REQ,,ADD2,ADD2,
SS,Manufacturing Facility,in a detailed manufacturing area,1.29,W/ft2,4,REQ,REQ,,ADD2,ADD2,
SS,Retail Facilities,in a dressing/fitting room,0.71,W/ft2,8,REQ,REQ,,REQ,,
SS,Religious Buildings,in a fellowship hall,0.64,W/ft2,4,REQ,REQ,,ADD2,ADD2,
SS,Museum,in a general exhibition area,1.05,W/ft2,6,REQ,REQ,,ADD2,ADD2,
SS,Manufacturing Facility,in a high bay area (25 50 ft floor-to-ceiling height),1.23,W/ft2,4,REQ,REQ,,ADD2,ADD2,
SS,Manufacturing Facility,in a low bay area (<25 ft floor-to-ceiling height),1.19,W/ft2,4,REQ,REQ,,ADD2,ADD2,
SS,Retail Facilities,in a mall concourse,1.1,W/ft2,4,REQ,REQ,,ADD2,ADD2,
SS,Healthcare Facility,in a medical supply room,0.74,W/ft2,6,REQ,REQ,REQ,ADD2,ADD2,
SS,Healthcare Facility,in a nurse s station,0.71,W/ft2,6,REQ,REQ,,ADD2,ADD2,
SS,Healthcare Facility,in a nursery,0.88,W/ft2,6,REQ,REQ,,ADD2,ADD2,
SS,Healthcare Facility,in a patient room,0.62,W/ft2,6,REQ,REQ,,ADD2,ADD2,
SS,Healthcare Facility,in a physical therapy room,0.91,W/ft2,6,REQ,REQ,,ADD2,ADD2,
SS,Gymnasium/fitness Center,in a playing area,1.2,W/ft2,4,REQ,REQ,,ADD2,ADD2,
SS,Library,in a reading area,1.06,W/ft2,4,REQ,REQ,,ADD2,ADD2,
SS,Healthcare Facility,in a recovery room,1.15,W/ft2,6,REQ,REQ,,ADD2,ADD2,
SS,Facility For The Visually Impaired,in a recreation room/common living room (and not used primarily by staff),2.41,W/ft2,6,,,,,,
SS,Facility For The Visually Impaired,in a recreation room/common living room (and not used primarily by staff),2.41,W/ft2,6,,,,,,
SS,Museum,in a restoration room,1.02,W/ft2,6,REQ,REQ,,ADD2,ADD2,
SS,Transportation Facility,in an airport concourse,0.36,W/ft2,4,REQ,REQ,,ADD2,ADD2,
SS,Manufacturing Facility,in an equipment room,0.74,W/ft2,6,REQ,REQ,,ADD2,ADD2,
SS,Healthcare Facility,in an exam/treatment room,1.66,W/ft2,8,REQ,REQ,,ADD2,ADD2,
SS,Gymnasium/fitness Center,in an exercise area,0.72,W/ft2,4,REQ,REQ,,ADD2,ADD2,
SS,Manufacturing Facility,in an extra high bay area (>50 ft floor-to-ceiling height),1.05,W/ft2,4,REQ,REQ,,ADD2,ADD2,
SS,Healthcare Facility,in an imaging room,1.51,W/ft2,6,,,,ADD2,ADD2,
SS,Healthcare Facility,in an operating room,2.48,W/ft2,6,,,,ADD2,ADD2,
SS,Library,in the stacks,1.71,W/ft2,4,REQ,REQ,REQ,ADD2,ADD2,
SS,Retail,Sales Additional (Type 1),0.6,W/ft2,4,REQ,REQ,,,,
SS,Retail,Sales Additional (Type 2),0.6,W/ft2,4,REQ,REQ,,,,
SS,Retail,Sales Additional (Type 3),1.4,W/ft2,4,REQ,REQ,,,,
SS,Retail,Sales Additional (Type 4),2.5,W/ft2,4,REQ,REQ,,,,
SS,None,None,0,W/ft2,,,,,,,
