method,lighting_primary_space_type,lighting_per_area,lighting_secondary_space_type,lighting_per_area_unit,annotation
CS,Restroom,0.63,All other restrooms,W/ft2,
CS,Sales Area,1.05,General,W/ft2,
CS,"Seating Area, General",0.23,General,W/ft2,
CS,Stairway,0.49,General,W/ft2,The space containing the stairway shall determine the LPD and control requirements for the stairway.
CS,Stairwell,0.49,General,W/ft2,
CS,Storage Room,0.51,< 50 ft2,W/ft2,
CS,Storage Room,0.38,>= 50 ft2,W/ft2,
CS,Vehicular Maintenance Area,0.6,General,W/ft2,
CS,Workshop,1.26,General,W/ft2,
SS,Facility for the Visually Impaired,0.7,Chapel (used primarily by residents),W/ft2,
SS,Facility for the Visually Impaired,1.77,Recreation room/common living room (and not used primarily by staff),W/ft2,
SS,Automotive,0.6,General,W/ft2,(See 'Vehicular Maintenance Area')
SS,Convention Center: Exhibit Space,0.61,General,W/ft2,
SS,Dormitory: Living Quarters,0.5,General,W/ft2,
SS,Fire Station: Sleeping Quarters,0.23,General,W/ft2,
SS,Gymnasium/Fitness Center,0.9,Exercise area,W/ft2,
SS,Gymnasium/Fitness Center,0.85,Playing area,W/ft2,
SS,Healthcare Facility,1.4,Exam/treatment room,W/ft2,
SS,Healthcare Facility,0.94,Imaging room,W/ft2,
SS,Healthcare Facility,0.62,Medical supply room,W/ft2,
SS,Healthcare Facility,0.92,Nursery,W/ft2,
SS,Healthcare Facility,1.17,Nurse's station,W/ft2,
SS,Healthcare Facility,2.26,Operating room,W/ft2,
SS,Healthcare Facility,0.68,Patient room,W/ft2,
SS,Healthcare Facility,0.91,Physical therapy room,W/ft2,
SS,Healthcare Facility,1.25,Recovery room,W/ft2,
SS,Library,0.96,Reading area,W/ft2,
SS,Library,1.18,Stacks,W/ft2,
SS,Manufacturing Facility,0.8,Detailed manufacturing area,W/ft2,
SS,Manufacturing Facility,0.76,Equipment room,W/ft2,
SS,Manufacturing Facility,1.42,Extra high bay area (> 50 ft floor-to-ceiling height),W/ft2,
SS,Manufacturing Facility,1.24,High bay area (25 to 50 ft floor-to-ceiling height),W/ft2,
SS,Manufacturing Facility,0.86,Low bay area (< 25 ft floor-to-ceiling height),W/ft2,
SS,Museum,0.31,General exhibition area,W/ft2,
SS,Museum,1.1,Restoration room,W/ft2,
SS,Performing Arts Theater: Dressing Room,0.41,General,W/ft2,
SS,Post Office: Sorting Area,0.76,General,W/ft2,
SS,Religious Facility,0.54,Fellowship hall,W/ft2,
SS,Religious Facility,0.85,Worship/pulpit/choir area,W/ft2,
SS,Retail Facilities,0.51,Dressing/fitting room,W/ft2,
SS,Retail Facilities,0.82,Mall concourse,W/ft2,
SS,Sports Arena: Playing Area,2.94,Class I facility,W/ft2,
SS,Sports Arena: Playing Area,2.01,Class II facility,W/ft2,
SS,Sports Arena: Playing Area,1.3,Class III facility,W/ft2,
SS,Sports Arena: Playing Area,0.86,Class IV facility,W/ft2,
SS,Transportation Facility,0.39,Baggage/carousel area,W/ft2,
SS,Transportation Facility,0.25,Airport concourse,W/ft2,
SS,Transportation Facility,0.51,Ticket counter,W/ft2,
SS,Warehouse: Storage Area,0.33,"Medium to bulky, palletized items",W/ft2,
SS,Warehouse: Storage Area,0.69,"Smaller, hand-carried items",W/ft2,
SS,Retail,0.45,Sales Additional (Retail Area 1),W/ft2,
SS,Retail,0.45,Sales Additional (Retail Area 2),W/ft2,
SS,Retail,1.05,Sales Additional (Retail Area 3),W/ft2,
SS,Retail,1.88,Sales Additional (Retail Area 4),W/ft2,
