lighting_space_type_name,lighting_space_type_target_illuminance_setpoint,lighting_space_type_target_illuminance_units,general_lighting_fraction,general_lighting_coefficient_of_utilization,task_lighting_fraction,task_lighting_coefficient_of_utilization,supplemental_lighting_fraction,supplemental_lighting_coefficient_of_utilization,wall_wash_lighting_fraction,wall_wash_lighting_coefficient_of_utilization,source,notes
office_open_plan_lighting,414,Lux,0.88,0.76,0,0.74,0,0,0.12,0.91,"total illuminance values from IES 2019, fractions from pnnl_90_1_lighting_subcommittee_model",
operating_room_lighting,1184,Lux,1,0.71,0,0,0,0,0,0,"total illuminance values from IES 2019, fractions from pnnl_90_1_lighting_subcommittee_model",
patient_room_lighting,355,Lux,0.457,0.73,0.543,0.7,0,0,0,0,"total illuminance values from IES 2019, fractions from pnnl_90_1_lighting_subcommittee_model",changed general fraction from 0.435 to 0.457 and supplemental fraction to 0
pharmacy_lighting,888,Lux,0.882352941,0.65,0.117647059,0.65,0,0,0,0,"total illuminance values from IES 2019, fractions from pnnl_90_1_lighting_subcommittee_model",
physical_therapy_lighting,474,Lux,0.8,0.59,0.2,0.59,0,0,0,0,"total illuminance values from IES 2019, fractions from pnnl_90_1_lighting_subcommittee_model","changed general fraction to 0.8, task fraction to 0.2"
playing_area_lighting,592,Lux,1,0.8,0,0,0,0,0,0,"total illuminance values from IES 2019, fractions from pnnl_90_1_lighting_subcommittee_model",
post_office_lighting,237,Lux,1,0.44,0,0,0,0,0,0.56,"total illuminance values from IES 2019, fractions from pnnl_90_1_lighting_subcommittee_model","lobby, changed general fraction to 1 and supplemental fraction to 0"
post_office_sorting_area_general_lighting,474,Lux,0.8,0,0,0,0,0,0,,"total illuminance values from IES 2019, fractions from pnnl_90_1_lighting_subcommittee_model",
recovery_lighting,592,Lux,0.886363636,0.73,0,0,0,0,0.113636364,0.73,"total illuminance values from IES 2019, fractions from pnnl_90_1_lighting_subcommittee_model",
recreation_common_living_lighting,323,Lux,0.85,0.52,0.15,0.38,0,0.33,0,0,"total illuminance values from IES 2019, fractions from pnnl_90_1_lighting_subcommittee_model","dormitory living quarters, illuminance value seems to high for a oounge"
religious_buildings_fellowship_hall_lighting,355,Lux,0.8,0.92,0.2,1.03,0,0,0,0,"total illuminance values from IES 2019, fractions from pnnl_90_1_lighting_subcommittee_model",
religious_buildings_worship_pulpit_choir_lighting,355,Lux,0.625,0.97,0.166666667,0.4,0,0,0.208333333,0.91,"total illuminance values from IES 2019, fractions from pnnl_90_1_lighting_subcommittee_model",
restroom_lighting,178,Lux,0.9,0.51,0,0.69,0,0,0.1,0.57,"total illuminance values from IES 2019, fractions from pnnl_90_1_lighting_subcommittee_model","changed general fraction to 0.9, wall wash to 0.1"
retail_mall_concourse_lighting,403,Lux,0.705882353,0.97,0,0,0.294117647,0.4,0,0.75,"total illuminance values from IES 2019, fractions from pnnl_90_1_lighting_subcommittee_model",
retail_sales_lighting,474,Lux,0.9,0.6,0,0,0.06,0.83,0.04,0.56,"total illuminance values from IES 2019, fractions from pnnl_90_1_lighting_subcommittee_model","retail sales area, changed general fraction to 0.9, supplemental to 0.06, wall wash to 0.04"
sleeping_quarters_lighting,59,Lux,0.5,0.65,0.5,0.43,0,0,0,0,"total illuminance values from IES 2019, fractions from pnnl_90_1_lighting_subcommittee_model",
sports_arena_lighting,1184,Lux,0.5,0.46,0.5,0.97,0,0,0,0,"total illuminance values from IES 2019, fractions from pnnl_90_1_lighting_subcommittee_model",
stairwell_lighting,118,Lux,0.9,0.36,0.05,0.27,0,0,0.05,0,"total illuminance values from IES 2019, fractions from pnnl_90_1_lighting_subcommittee_model","changed general fraction to 0.9, task to 0.05, wall wash to 0.05"
storage_lighting,118,Lux,1,0.61,0,0,0,0,0,0,"total illuminance values from IES 2019, fractions from pnnl_90_1_lighting_subcommittee_model",
transportation_facility_ticket_counter_lighting,296,Lux,0.4,0.79,0.4,0.92,0,0,0.2,0.83,"total illuminance values from IES 2019, fractions from pnnl_90_1_lighting_subcommittee_model",
transportation_lighting,237,Lux,0.545454545,0.59,0,0,0,0,0.454545455,0.83,"total illuminance values from IES 2019, fractions from pnnl_90_1_lighting_subcommittee_model",
vehicular_maintenance_lighting,355,Lux,0.833333333,0.7,0.166666667,0.56,0,0,0,0,"total illuminance values from IES 2019, fractions from pnnl_90_1_lighting_subcommittee_model",
warehouse_storage_area_medium_to_bulky_palletized_items_lighting,237,Lux,1,0.81,0,0,0,0,0,0,"total illuminance values from IES 2019, fractions from pnnl_90_1_lighting_subcommittee_model",
warehouse_storage_area_smaller_hand-carried_items_lighting,355,Lux,1,0.59,0,0,0,0,0,0,"total illuminance values from IES 2019, fractions from pnnl_90_1_lighting_subcommittee_model",
workshop_lighting,592,Lux,1,0.61,0,0.92,0,0,0,0,"total illuminance values from IES 2019, fractions from pnnl_90_1_lighting_subcommittee_model",
worship_lighting,355,Lux,0.625,0.97,0.166666667,0.4,0,0,0.208333333,0.45,"total illuminance values from IES 2019, fractions from pnnl_90_1_lighting_subcommittee_model",
