construction_opaque_id,surface_type,construction_type_name,author,old_type_code,intended_surface_type,standards_construction_type,type_index,climate_zone,rsi_k_m2_per_w,description,material_opaque_id_layers,material_desciptions,Code
11,EXPFLOOR,BTAP-ExteriorFloor-WoodFramed-1,BTAP,2,ExteriorFloor,WoodFramed,1,Zone 7B,6.17,"Wood Flooring with  Metal finish, 100 PSF load","120,118,3,99,54,6,119","Floor system, 2""x10"" joists, 24"" spacing,  116 PSF total load
3/4"" thick CDX plywood subfloor, pneumatic nailed
polyethylene 4 ml vapour barrier
9.5"" thick fibreglass, kraft coated ceiling insulation, 15"" wide blanket (RSI 5.28)
0.5"" Isoboard, 4 x 8 sheet, foil faced (RSI 0.48)
weather barrier, spunbonded polyethylene
Steel siding, bevelled with vinyl finish, 10"" width
",NECB_2011
12,EXPFLOOR,BTAP-ExteriorFloor-WoodFramed-1,BTAP,2,ExteriorFloor,WoodFramed,1,Zone 8,7.04,"Wood Flooring with  Metal finish, 100 PSF load","120,118,3,68,54,6,119","Floor system, 2""x10"" joists, 24"" spacing,  116 PSF total load
3/4"" thick CDX plywood subfloor, pneumatic nailed
polyethylene 4 ml vapour barrier
Polyurethane Foam 4.5"" thick, RSI 5.15 modified to 5.5"" foaming RSI 6.18
0.5"" Isoboard, 4 x 8 sheet, foil faced (RSI 0.48)
weather barrier, spunbonded polyethylene
Steel siding, bevelled with vinyl finish, 10"" width
",NECB_2011
13,ROOF,BTAP-ExteriorRoof-IEAD-1,BTAP,1,ExteriorRoof,IEAD,1,Zone 4,4.41,Built-up Deck Roof on a Nailable Deck,"87,97,57,80,90","asphalt flood coat, gravel base coated glass-fibre sheet and 3 plies glass fibre felt (type IV) mopped on nailable deck
Plywood underlayment 0.75' thick
XPS, 25 PSI, 2"" RSI 1.76
XPS, 25 PSI, 3"" RSI 2.64
Spruce Wood decking, 2 "" thick
",NECB_2011
14,ROOF,BTAP-ExteriorRoof-IEAD-1,BTAP,1,ExteriorRoof,IEAD,1,Zone 5,5.46,Built-up Deck Roof on a Nailable Deck,"87,97,134,134,90","asphalt flood coat, gravel base coated glass-fibre sheet and 3 plies glass fibre felt (type IV) mopped on nailable deck
Plywood underlayment 0.75' thick
XPS, 3"" 2.64
XPS, 3"" 2.64
Spruce Wood decking, 2 "" thick
",NECB_2011
15,ROOF,BTAP-ExteriorRoof-IEAD-1,BTAP,1,ExteriorRoof,IEAD,1,Zone 6,5.46,Built-up Deck Roof on a Nailable Deck,"87,97,134,134,90","asphalt flood coat, gravel base coated glass-fibre sheet and 3 plies glass fibre felt (type IV) mopped on nailable deck
Plywood underlayment 0.75' thick
XPS, 3"" 2.64
XPS, 3"" 2.64
Spruce Wood decking, 2 "" thick
",NECB_2011
16,ROOF,BTAP-ExteriorRoof-IEAD-1,BTAP,1,ExteriorRoof,IEAD,1,Zone 7A,6.17,Built-up Deck Roof on a Nailable Deck,"87,97,80,80,150,90","asphalt flood coat, gravel base coated glass-fibre sheet and 3 plies glass fibre felt (type IV) mopped on nailable deck
Plywood underlayment 0.75' thick
XPS, 25 PSI, 3"" RSI 2.64
XPS, 25 PSI, 3"" RSI 2.64
XPS, 25 PSI, 1"" RSI 0.88
Spruce Wood decking, 2 "" thick
",NECB_2011
17,ROOF,BTAP-ExteriorRoof-IEAD-1,BTAP,1,ExteriorRoof,IEAD,1,Zone 7B,6.17,Built-up Deck Roof on a Nailable Deck,"87,97,80,80,150,90","asphalt flood coat, gravel base coated glass-fibre sheet and 3 plies glass fibre felt (type IV) mopped on nailable deck
Plywood underlayment 0.75' thick
XPS, 25 PSI, 3"" RSI 2.64
XPS, 25 PSI, 3"" RSI 2.64
XPS, 25 PSI, 1"" RSI 0.88
Spruce Wood decking, 2 "" thick
",NECB_2011
18,ROOF,BTAP-ExteriorRoof-IEAD-1,BTAP,1,ExteriorRoof,IEAD,1,Zone 8,7.04,Built-up Deck Roof on a Nailable Deck,"87,97,80,80,57,90","asphalt flood coat, gravel base coated glass-fibre sheet and 3 plies glass fibre felt (type IV) mopped on nailable deck
Plywood underlayment 0.75' thick
XPS, 25 PSI, 3"" RSI 2.64
XPS, 25 PSI, 3"" RSI 2.64
XPS, 25 PSI, 2"" RSI 1.76
Spruce Wood decking, 2 "" thick
",NECB_2011
19,ROOF,BTAP-ExteriorRoof-IEAD-2,BTAP,2,ExteriorRoof,IEAD,2,Zone 4,4.41,Built-up Deck Roof on a Nailable Deck,"87,97,57,80,93","asphalt flood coat, gravel base coated glass-fibre sheet and 3 plies glass fibre felt (type IV) mopped on nailable deck
Plywood underlayment 0.75' thick
XPS, 25 PSI, 2"" RSI 1.76
XPS, 25 PSI, 3"" RSI 2.64
Steel decking, open type galvanized, 1.5"" rib depth, 18 gauge
",NECB_2011
20,ROOF,BTAP-ExteriorRoof-IEAD-2,BTAP,2,ExteriorRoof,IEAD,2,Zone 5,5.46,Built-up Deck Roof on a Steel Deck,"87,97,134,134,93","asphalt flood coat, gravel base coated glass-fibre sheet and 3 plies glass fibre felt (type IV) mopped on nailable deck
Plywood underlayment 0.75' thick
XPS, 3"" 2.64
XPS, 3"" 2.64
Steel decking, open type galvanized, 1.5"" rib depth, 18 gauge
",NECB_2011
21,ROOF,BTAP-ExteriorRoof-IEAD-2,BTAP,2,ExteriorRoof,IEAD,2,Zone 6,5.46,Built-up Deck Roof on a Steel Deck,"87,97,134,134,93","asphalt flood coat, gravel base coated glass-fibre sheet and 3 plies glass fibre felt (type IV) mopped on nailable deck
Plywood underlayment 0.75' thick
XPS, 3"" 2.64
XPS, 3"" 2.64
Steel decking, open type galvanized, 1.5"" rib depth, 18 gauge
",NECB_2011
22,ROOF,BTAP-ExteriorRoof-IEAD-2,BTAP,2,ExteriorRoof,IEAD,2,Zone 7A,6.17,Built-up Deck Roof on a Nailable Deck,"87,97,80,80,150,93","asphalt flood coat, gravel base coated glass-fibre sheet and 3 plies glass fibre felt (type IV) mopped on nailable deck
Plywood underlayment 0.75' thick
XPS, 25 PSI, 3"" RSI 2.64
XPS, 25 PSI, 3"" RSI 2.64
XPS, 25 PSI, 1"" RSI 0.88
Steel decking, open type galvanized, 1.5"" rib depth, 18 gauge
",NECB_2011
23,ROOF,BTAP-ExteriorRoof-IEAD-2,BTAP,2,ExteriorRoof,IEAD,2,Zone 7B,6.17,Built-up Deck Roof on a Nailable Deck,"87,97,80,80,150,93","asphalt flood coat, gravel base coated glass-fibre sheet and 3 plies glass fibre felt (type IV) mopped on nailable deck
Plywood underlayment 0.75' thick
XPS, 25 PSI, 3"" RSI 2.64
XPS, 25 PSI, 3"" RSI 2.64
XPS, 25 PSI, 1"" RSI 0.88
Steel decking, open type galvanized, 1.5"" rib depth, 18 gauge
",NECB_2011
24,ROOF,BTAP-ExteriorRoof-IEAD-2,BTAP,2,ExteriorRoof,IEAD,2,Zone 8,7.04,Built-up Deck Roof on a Nailable Deck,"87,97,80,80,57,93","asphalt flood coat, gravel base coated glass-fibre sheet and 3 plies glass fibre felt (type IV) mopped on nailable deck
Plywood underlayment 0.75' thick
XPS, 25 PSI, 3"" RSI 2.64
XPS, 25 PSI, 3"" RSI 2.64
XPS, 25 PSI, 2"" RSI 1.76
Steel decking, open type galvanized, 1.5"" rib depth, 18 gauge
",NECB_2011
25,ROOF,BTAP-ExteriorRoof-IEAD-3,BTAP,3,ExteriorRoof,IEAD,3,Zone 4,4.41,Deck Roof with a Membrane on a Nailable Deck,"94,97,57,80,90","60 ml Single ply EPDM membrane fully adhered to underlayment, 0.4 lb/ft2 no ballast or aggregate topping
Plywood underlayment 0.75' thick
XPS, 25 PSI, 2"" RSI 1.76
XPS, 25 PSI, 3"" RSI 2.64
Spruce Wood decking, 2 "" thick
",NECB_2011
26,ROOF,BTAP-ExteriorRoof-IEAD-3,BTAP,3,ExteriorRoof,IEAD,3,Zone 5,5.46,Deck Roof with a Membrane on a Nailable Deck,"94,97,134,134,90","60 ml Single ply EPDM membrane fully adhered to underlayment, 0.4 lb/ft2 no ballast or aggregate topping
Plywood underlayment 0.75' thick
XPS, 3"" 2.64
XPS, 3"" 2.64
Spruce Wood decking, 2 "" thick
",NECB_2011
27,ROOF,BTAP-ExteriorRoof-IEAD-3,BTAP,3,ExteriorRoof,IEAD,3,Zone 6,5.46,Deck Roof with a Membrane on a Nailable Deck,"94,97,134,134,90","60 ml Single ply EPDM membrane fully adhered to underlayment, 0.4 lb/ft2 no ballast or aggregate topping
Plywood underlayment 0.75' thick
XPS, 3"" 2.64
XPS, 3"" 2.64
Spruce Wood decking, 2 "" thick
",NECB_2011
28,ROOF,BTAP-ExteriorRoof-IEAD-3,BTAP,3,ExteriorRoof,IEAD,3,Zone 7A,6.17,Deck Roof with a Membrane on a Nailable Deck,"94,97,80,80,150,90","60 ml Single ply EPDM membrane fully adhered to underlayment, 0.4 lb/ft2 no ballast or aggregate topping
Plywood underlayment 0.75' thick
XPS, 25 PSI, 3"" RSI 2.64
XPS, 25 PSI, 3"" RSI 2.64
XPS, 25 PSI, 1"" RSI 0.88
Spruce Wood decking, 2 "" thick
",NECB_2011
29,ROOF,BTAP-ExteriorRoof-IEAD-3,BTAP,3,ExteriorRoof,IEAD,3,Zone 7B,6.17,Deck Roof with a Membrane on a Nailable Deck,"94,97,80,80,150,90","60 ml Single ply EPDM membrane fully adhered to underlayment, 0.4 lb/ft2 no ballast or aggregate topping
Plywood underlayment 0.75' thick
XPS, 25 PSI, 3"" RSI 2.64
XPS, 25 PSI, 3"" RSI 2.64
XPS, 25 PSI, 1"" RSI 0.88
Spruce Wood decking, 2 "" thick
",NECB_2011
30,ROOF,BTAP-ExteriorRoof-IEAD-3,BTAP,3,ExteriorRoof,IEAD,3,Zone 8,7.04,Deck Roof with a Membrane on a Nailable Deck,"94,97,80,80,57,90","60 ml Single ply EPDM membrane fully adhered to underlayment, 0.4 lb/ft2 no ballast or aggregate topping
Plywood underlayment 0.75' thick
XPS, 25 PSI, 3"" RSI 2.64
XPS, 25 PSI, 3"" RSI 2.64
XPS, 25 PSI, 2"" RSI 1.76
Spruce Wood decking, 2 "" thick
",NECB_2011
31,ROOF,BTAP-ExteriorRoof-IEAD-4,BTAP,4,ExteriorRoof,IEAD,4,Zone 4-NECB2011,4.41,Deck Roof with a Membrane on a Steel Deck,"94,88,40,40,150,93","60 ml Single ply EPDM membrane fully adhered to underlayment, 0.4 lb/ft2 no ballast or aggregate topping
plywood underlayment 0.5"" thick
XPS, 25 PSI, 2"" RSI 1.76
XPS, 25 PSI, 2"" RSI 1.76
XPS, 25 PSI, 1"" RSI 0.88
Steel decking, open type galvanized, 1.5"" rib depth, 18 gauge
",NECB_2011/2017
229,ROOF,BTAP-ExteriorRoof-IEAD-4,BTAP,4,ExteriorRoof,IEAD,4,Zone 4-NECB2017,5.18,Deck Roof with a Membrane on a Steel Deck,"94,88,40,40,40,93","60 ml Single ply EPDM membrane fully adhered to underlayment, 0.4 lb/ft2 no ballast or aggregate topping
plywood underlayment 0.5"" thick
XPS, 25 PSI, 2"" RSI 1.76
XPS, 25 PSI, 2"" RSI 1.76
XPS, 25 PSI, 2"" RSI 1.76
Steel decking, open type galvanized, 1.5"" rib depth, 18 gauge
",NECB_2011/2017
32,ROOF,BTAP-ExteriorRoof-IEAD-4,BTAP,4,ExteriorRoof,IEAD,4,Zone 5-NECB2011,5.46,Deck Roof with a Membrane on a Steel Deck,"94,88,40,40,40,158,93","60 ml Single ply EPDM membrane fully adhered to underlayment, 0.4 lb/ft2 no ballast or aggregate topping
plywood underlayment 0.5"" thick
XPS, 25 PSI, 2"" RSI 1.76
XPS, 25 PSI, 2"" RSI 1.76
XPS, 25 PSI, 2"" RSI 1.76
XPS, 3/4"" RSI 0.501
Steel decking, open type galvanized, 1.5"" rib depth, 18 gauge
",NECB_2011/2017
34,ROOF,BTAP-ExteriorRoof-IEAD-4,BTAP,4,ExteriorRoof,IEAD,4,Zone 7A-NECB2011,6.17,Deck Roof with a Membrane on a Steel Deck,"94,88,40,40,150,40,93","60 ml Single ply EPDM membrane fully adhered to underlayment, 0.4 lb/ft2 no ballast or aggregate topping
plywood underlayment 0.5"" thick
XPS, 25 PSI, 2"" RSI 1.76
XPS, 25 PSI, 2"" RSI 1.76
XPS, 25 PSI, 1"" RSI 0.88
XPS, 25 PSI, 2"" RSI 1.76
Steel decking, open type galvanized, 1.5"" rib depth, 18 gauge
",NECB_2011/2017
230,ROOF,BTAP-ExteriorRoof-IEAD-4,BTAP,4,ExteriorRoof,IEAD,4,Zone 5-NECB2017,6.41,Deck Roof with a Membrane on a Steel Deck,"94,88,40,40,40,150,158,93","60 ml Single ply EPDM membrane fully adhered to underlayment, 0.4 lb/ft2 no ballast or aggregate topping
plywood underlayment 0.5"" thick
XPS, 25 PSI, 2"" RSI 1.76
XPS, 25 PSI, 2"" RSI 1.76
XPS, 25 PSI, 2"" RSI 1.76
XPS, 25 PSI, 1"" RSI 0.88
XPS, 3/4"" RSI 0.501
Steel decking, open type galvanized, 1.5"" rib depth, 18 gauge
",NECB_2011/2017
232,ROOF,BTAP-ExteriorRoof-IEAD-4,BTAP,4,ExteriorRoof,IEAD,4,Zone 7A-NECB2017,7.25,Deck Roof with a Membrane on a Steel Deck,"94,88,40,40,40,40,158,93","60 ml Single ply EPDM membrane fully adhered to underlayment, 0.4 lb/ft2 no ballast or aggregate topping
plywood underlayment 0.5"" thick
XPS, 25 PSI, 2"" RSI 1.76
XPS, 25 PSI, 2"" RSI 1.76
XPS, 25 PSI, 2"" RSI 1.76
XPS, 25 PSI, 2"" RSI 1.76
XPS, 3/4"" RSI 0.501
Steel decking, open type galvanized, 1.5"" rib depth, 18 gauge
",NECB_2011/2017
234,ROOF,BTAP-ExteriorRoof-IEAD-4,BTAP,4,ExteriorRoof,IEAD,4,Zone 8-NECB2017,8.26,Deck Roof with a Membrane on a Steel Deck,"94,88,40,40,40,150,40,158,93","60 ml Single ply EPDM membrane fully adhered to underlayment, 0.4 lb/ft2 no ballast or aggregate topping
plywood underlayment 0.5"" thick
XPS, 25 PSI, 2"" RSI 1.76
XPS, 25 PSI, 2"" RSI 1.76
XPS, 25 PSI, 2"" RSI 1.76
XPS, 25 PSI, 1"" RSI 0.88
XPS, 25 PSI, 2"" RSI 1.76
XPS, 3/4"" RSI 0.501
Steel decking, open type galvanized, 1.5"" rib depth, 18 gauge
",NECB_2011/2017
37,ROOF,BTAP-ExteriorRoof-IEAD-5,BTAP,6,ExteriorRoof,IEAD,5,Zone 4,4.41,"Asphalt Shingle Roofing, ","98,96,97,57,80,97","Premium shingles, Class A, 300-385 lbs/ft2, pneumatic nailer
Asphalt felt, #15
Plywood underlayment 0.75' thick
XPS, 25 PSI, 2"" RSI 1.76
XPS, 25 PSI, 3"" RSI 2.64
Plywood underlayment 0.75' thick
",NECB_2011
38,ROOF,BTAP-ExteriorRoof-IEAD-5,BTAP,6,ExteriorRoof,IEAD,5,Zone 5,5.46,"Asphalt Shingle Roofing, ","98,96,97,134,134,97","Premium shingles, Class A, 300-385 lbs/ft2, pneumatic nailer
Asphalt felt, #15
Plywood underlayment 0.75' thick
XPS, 3"" 2.64
XPS, 3"" 2.64
Plywood underlayment 0.75' thick
",NECB_2011
39,ROOF,BTAP-ExteriorRoof-IEAD-5,BTAP,6,ExteriorRoof,IEAD,5,Zone 6,5.46,"Asphalt Shingle Roofing, ","98,96,97,134,134,97","Premium shingles, Class A, 300-385 lbs/ft2, pneumatic nailer
Asphalt felt, #15
Plywood underlayment 0.75' thick
XPS, 3"" 2.64
XPS, 3"" 2.64
Plywood underlayment 0.75' thick
",NECB_2011
40,ROOF,BTAP-ExteriorRoof-IEAD-5,BTAP,6,ExteriorRoof,IEAD,5,Zone 7A,6.17,"Asphalt Shingle Roofing, ","98,96,97,80,80,150,97","Premium shingles, Class A, 300-385 lbs/ft2, pneumatic nailer
Asphalt felt, #15
Plywood underlayment 0.75' thick
XPS, 25 PSI, 3"" RSI 2.64
XPS, 25 PSI, 3"" RSI 2.64
XPS, 25 PSI, 1"" RSI 0.88
Plywood underlayment 0.75' thick
",NECB_2011
41,ROOF,BTAP-ExteriorRoof-IEAD-5,BTAP,6,ExteriorRoof,IEAD,5,Zone 7B,6.17,"Asphalt Shingle Roofing, ","98,96,97,80,80,150,97","Premium shingles, Class A, 300-385 lbs/ft2, pneumatic nailer
Asphalt felt, #15
Plywood underlayment 0.75' thick
XPS, 25 PSI, 3"" RSI 2.64
XPS, 25 PSI, 3"" RSI 2.64
XPS, 25 PSI, 1"" RSI 0.88
Plywood underlayment 0.75' thick
",NECB_2011
42,ROOF,BTAP-ExteriorRoof-IEAD-5,BTAP,6,ExteriorRoof,IEAD,5,Zone 8,7.04,"Asphalt Shingle Roofing, ","98,96,97,80,80,57,97","Premium shingles, Class A, 300-385 lbs/ft2, pneumatic nailer
Asphalt felt, #15
Plywood underlayment 0.75' thick
XPS, 25 PSI, 3"" RSI 2.64
XPS, 25 PSI, 3"" RSI 2.64
XPS, 25 PSI, 2"" RSI 1.76
Plywood underlayment 0.75' thick
",NECB_2011
43,ROOF,BTAP-ExteriorRoof-IEAD-6,BTAP,8,ExteriorRoof,IEAD,6,Zone 4,4.41,"Asphalt Shingle Roofing, Attic Insulation","98,96,97,99,3,1","Premium shingles, Class A, 300-385 lbs/ft2, pneumatic nailer
Asphalt felt, #15
Plywood underlayment 0.75' thick
9.5"" thick fibreglass, kraft coated ceiling insulation, 15"" wide blanket (RSI 5.28)
polyethylene 4 ml vapour barrier
gypsum wallboard 0.5 in thick
",NECB_2011
44,ROOF,BTAP-ExteriorRoof-IEAD-6,BTAP,8,ExteriorRoof,IEAD,6,Zone 5,5.46,"Asphalt Shingle Roofing, Attic Insulation","98,96,97,99,3,1","Premium shingles, Class A, 300-385 lbs/ft2, pneumatic nailer
Asphalt felt, #15
Plywood underlayment 0.75' thick
9.5"" thick fibreglass, kraft coated ceiling insulation, 15"" wide blanket (RSI 5.28)
polyethylene 4 ml vapour barrier
gypsum wallboard 0.5 in thick
",NECB_2011
45,ROOF,BTAP-ExteriorRoof-IEAD-6,BTAP,8,ExteriorRoof,IEAD,6,Zone 6,5.46,"Asphalt Shingle Roofing, Attic Insulation","98,96,97,99,3,1","Premium shingles, Class A, 300-385 lbs/ft2, pneumatic nailer
Asphalt felt, #15
Plywood underlayment 0.75' thick
9.5"" thick fibreglass, kraft coated ceiling insulation, 15"" wide blanket (RSI 5.28)
polyethylene 4 ml vapour barrier
gypsum wallboard 0.5 in thick
",NECB_2011
46,ROOF,BTAP-ExteriorRoof-IEAD-6,BTAP,8,ExteriorRoof,IEAD,6,Zone 7A,6.17,"Asphalt Shingle Roofing, Attic Insulation","98,96,97,105,3,1","Premium shingles, Class A, 300-385 lbs/ft2, pneumatic nailer
Asphalt felt, #15
Plywood underlayment 0.75' thick
16"" thick fibreglass blown ceiling (RSI 6.7)
polyethylene 4 ml vapour barrier
gypsum wallboard 0.5 in thick
",NECB_2011
47,ROOF,BTAP-ExteriorRoof-IEAD-6,BTAP,8,ExteriorRoof,IEAD,6,Zone 7B,6.17,"Asphalt Shingle Roofing, Attic Insulation","98,96,97,105,3,1","Premium shingles, Class A, 300-385 lbs/ft2, pneumatic nailer
Asphalt felt, #15
Plywood underlayment 0.75' thick
16"" thick fibreglass blown ceiling (RSI 6.7)
polyethylene 4 ml vapour barrier
gypsum wallboard 0.5 in thick
",NECB_2011
48,ROOF,BTAP-ExteriorRoof-IEAD-6,BTAP,8,ExteriorRoof,IEAD,6,Zone 8,7.04,"Asphalt Shingle Roofing, Attic Insulation","98,96,97,104,3,108","Premium shingles, Class A, 300-385 lbs/ft2, pneumatic nailer
Asphalt felt, #15
Plywood underlayment 0.75' thick
18"" thick fibreglass blown ceiling (RSI 7.9) 
polyethylene 4 ml vapour barrier
gypsum wallboard 0.5 in thick
",NECB_2011
49,ROOF,BTAP-ExteriorRoof-Metal-1,BTAP,5,ExteriorRoof,Metal,1,Zone 4,4.41,"Steel Roofing, painted galvanized ","95,96,97,57,80,97","Zinc Steel roofing, 28 gauge, .020"" thick, 115 lb/ft2
Asphalt felt, #15
Plywood underlayment 0.75' thick
XPS, 25 PSI, 2"" RSI 1.76
XPS, 25 PSI, 3"" RSI 2.64
Plywood underlayment 0.75' thick
",NECB_2011
50,ROOF,BTAP-ExteriorRoof-Metal-1,BTAP,5,ExteriorRoof,Metal,1,Zone 5,5.46,"Steel Roofing, painted galvanized ","95,96,97,134,134,97","Zinc Steel roofing, 28 gauge, .020"" thick, 115 lb/ft2
Asphalt felt, #15
Plywood underlayment 0.75' thick
XPS, 3"" 2.64
XPS, 3"" 2.64
Plywood underlayment 0.75' thick
",NECB_2011
51,ROOF,BTAP-ExteriorRoof-Metal-1,BTAP,5,ExteriorRoof,Metal,1,Zone 6,5.46,"Steel Roofing, painted galvanized ","95,96,97,134,134,97","Zinc Steel roofing, 28 gauge, .020"" thick, 115 lb/ft2
Asphalt felt, #15
Plywood underlayment 0.75' thick
XPS, 3"" 2.64
XPS, 3"" 2.64
Plywood underlayment 0.75' thick
",NECB_2011
