materials_glazing_id,description,per m2,Embodied Carbon (A1-A5),Embodied Carbon (A-C),Environmental Product Declaration (EPD)
11,"entrance, door 5'x7', opening 12'x7'-6', electric operator",1.0,74.716,127.103,"Argon gas filled insulating glass unit (IGU) with clear float glass panes, double glazed, 4-16-4, 20 kg/m2 (One Click LCA)"
12,"fixed mall front panels, aluminum finish 48' x 9' opening",1.0,66.143,50.032,"Argon gas filled insulating glass unit (IGU) with clear float glass panes, double glazed, 4-16-4, 20 kg/m2 (One Click LCA)"
13,aluminum window: stock 5'x3' including framing and insulated glazing,1.0,110.817,39.47,"Argon gas filled insulating glass unit (IGU) with clear float glass panes, double glazed, 4-16-4, 20 kg/m2 (One Click LCA)"
14,"Windows, aluminum, awning, insulated glass, 4'-5"" x 5'-3""",1.0,65.314,75.099,"Argon gas filled insulating glass unit (IGU) with clear float glass panes, double glazed, 4-16-4, 20 kg/m2 (One Click LCA)"
15,"6' x 4' picture with insulating glass, 2 lites, low E, finished extensions and jambs",1.0,5.983,62.514,"Argon gas filled insulating glass unit (IGU) with clear float glass panes, double glazed, 4-16-4, 20 kg/m2 (One Click LCA)"
16,"Windows, aluminum, awning, insulated glass, 4'-5"" x 5'-3""",1.0,92.088,112.675,"Argon gas filled insulating glass unit (IGU) with clear float glass panes, double glazed, 4-16-4, 20 kg/m2 (One Click LCA)"
17,"Windows, aluminum, double hung, insul. glass, 3'-0"" x 4'-0""",1.0,51.21,99.57,"Argon gas filled insulating glass unit (IGU) with clear float glass panes, double glazed, 4-16-4, 20 kg/m2 (One Click LCA)"
18,"triple glazed U= 1.6 W/m2-K, 6' x 7' aluminum patio, tempered glass",1.0,298.056,458.834,"Argon gas filled insulating glass unit (IGU) with one laminated and two tempered glass panes, triple glazed, 10-14-6-14-12.76, 71.9 kg/m2 (One Click LCA)"
19,"triple glazed U= 1.6 W/m2-K, entrance, door 5'x7', opening 12'x7'-6', electric operator",1.0,94.614,7.92,"Argon gas filled insulating glass unit (IGU) with clear float glass panes, triple glazed, 4-14-4-14-4, 30 kg/m2 (One Click LCA)"
20,"triple glazed U= 1.6 W/m2-K, fixed mall front panels, aluminum finish 48' x 9' opening",1.0,36.191,153.033,"Argon gas filled insulating glass unit (IGU) with clear float glass panes, triple glazed, 4-14-4-14-4, 30 kg/m2 (One Click LCA)"
21,"triple glazed U= 1.6 W/m2-K, aluminum window: stock 5'x3' including framing and insulated glazing",1.0,23.291,200.07,"Argon gas filled insulating glass unit (IGU) with clear float glass panes, triple glazed, 4-14-4-14-4, 30 kg/m2 (One Click LCA)"
22,"Windows, aluminum, double hung, insul. glass, 3'-0"" x 4'-0""",1.0,55.61,122.977,"Argon gas filled insulating glass unit (IGU) with clear float glass panes, double glazed, 4-16-4, 20 kg/m2 (One Click LCA)"
23,"triple glazed U= 1.6 W/m2-K, 6' x 4' picture with insulating glass, 2 lites, low E, finished extensions and jambs",1.0,46.464,16.326,"Argon gas filled insulating glass unit (IGU) with clear float glass panes, triple glazed, 4-14-4-14-4, 30 kg/m2 (One Click LCA)"
24,"Windows, aluminum, double hung, insul. glass, 3'-0"" x 4'-0""",1.0,63.127,14.273,"Argon gas filled insulating glass unit (IGU) with clear float glass panes, double glazed, 4-16-4, 20 kg/m2 (One Click LCA)"
25,"Skylights, non venting, insulated, plexiglass dome with curb mount, 46"" x 46""",1.0,85.451,49.487,"Argon gas filled insulating glass unit (IGU) with clear float glass panes, double glazed, 4-16-4, 20 kg/m2 (One Click LCA)"
26,"Skylights, non venting, insulated, plexiglass dome with curb mount, 46"" x 46""",1.0,84.772,122.276,"Argon gas filled insulating glass unit (IGU) with clear float glass panes, double glazed, 4-16-4, 20 kg/m2 (One Click LCA)"
27,"Skylights, non venting, insulated, plexiglass dome with curb mount, 46"" x 46""",1.0,5.556,98.143,"Argon gas filled insulating glass unit (IGU) with clear float glass panes, double glazed, 4-16-4, 20 kg/m2 (One Click LCA)"
28,"Skylights, non venting, insulated, plexiglass dome with curb mount, 46"" x 46""",1.0,48.746,124.949,"Argon gas filled insulating glass unit (IGU) with clear float glass panes, double glazed, 4-16-4, 20 kg/m2 (One Click LCA)"
29,bronze film (glass not included) 20% VLT,0.0,0.0,0.0,
30,bronze film (glass not included) 50% VLT,0.0,0.0,0.0,
31,Silver film (glass not included) 15% VLT,0.0,0.0,0.0,
32,Silver film (glass not included) 35% VLT,0.0,0.0,0.0,
33,Silver film (glass not included) 68% VLT,0.0,0.0,0.0,
34,Neutral film (glass not included) 20% VLT,0.0,0.0,0.0,
