materials_glazing_id,description,per m2,Embodied Carbon (A1-A5),Embodied Carbon (A-C),Environmental Product Declaration (EPD)
20,"triple glazed U= 1.6 W/m2-K, fixed mall front panels, aluminum finish 48' x 9' opening",1.181,11.762,48.437,"Thermally improved aluminium extrusions (profiles), anodized (Aluminum Extruders Council (AEC))"
21,"triple glazed U= 1.6 W/m2-K, aluminum window: stock 5'x3' including framing and insulated glazing",1.15,7.371,61.662,"Thermally improved aluminium extrusions (profiles), anodized (Aluminum Extruders Council (AEC))"
22,"Windows, aluminum, double hung, insul. glass, 3'-0"" x 4'-0""",1.58,37.711,81.091,"Thermally improved aluminium extrusions (profiles), anodized (Aluminum Extruders Council (AEC))"
23,"triple glazed U= 1.6 W/m2-K, 6' x 4' picture with insulating glass, 2 lites, low E, finished extensions and jambs",2.95,37.719,12.907,"Thermally improved aluminium extrusions (profiles), anodized (Aluminum Extruders Council (AEC))"
24,"Windows, aluminum, double hung, insul. glass, 3'-0"" x 4'-0""",1.58,42.808,9.411,"Thermally improved aluminium extrusions (profiles), anodized (Aluminum Extruders Council (AEC))"
25,"Skylights, non venting, insulated, plexiglass dome with curb mount, 46"" x 46""",2.06,75.551,42.545,"Thermally improved aluminium extrusions (profiles), anodized (Aluminum Extruders Council (AEC))"
26,"Skylights, non venting, insulated, plexiglass dome with curb mount, 46"" x 46""",2.06,74.951,105.124,"Thermally improved aluminium extrusions (profiles), anodized (Aluminum Extruders Council (AEC))"
27,"Skylights, non venting, insulated, plexiglass dome with curb mount, 46"" x 46""",2.06,4.912,84.376,"Thermally improved aluminium extrusions (profiles), anodized (Aluminum Extruders Council (AEC))"
28,"Skylights, non venting, insulated, plexiglass dome with curb mount, 46"" x 46""",2.06,43.099,107.422,"Thermally improved aluminium extrusions (profiles), anodized (Aluminum Extruders Council (AEC))"
29,bronze film (glass not included) 20% VLT,0.0,0.0,0.0,
30,bronze film (glass not included) 50% VLT,0.0,0.0,0.0,
31,Silver film (glass not included) 15% VLT,0.0,0.0,0.0,
32,Silver film (glass not included) 35% VLT,0.0,0.0,0.0,
33,Silver film (glass not included) 68% VLT,0.0,0.0,0.0,
34,Neutral film (glass not included) 20% VLT,0.0,0.0,0.0,
