Template,Climate Zone Set,Intended Surface Type,Standards Construction Type,Building Category,Construction,Minimum Percent of Surface,Maximum Percent of Surface,Assembly Maximum U-Value,Assembly Maximum F Factor,Assembly Maximum C Factor,Assembly Maximum Solar Heat Gain Coefficient
NECB 2011,NECB-CNEB ClimatZone 4-8,ExteriorWall,BTAP-ExteriorWall-Mass-1,Nonresidential,BTAP - Typical Insulated Exterior Mass Wall-1,,,,,,
NECB 2011,NECB-CNEB ClimatZone 4-8,ExteriorWall,BTAP-ExteriorWall-Mass-2,Nonresidential,BTAP - Typical Insulated Exterior Mass Wall-2,,,,,,
NECB 2011,NECB-CNEB ClimatZone 4-8,ExteriorWall,BTAP-ExteriorWall-Mass-3,Nonresidential,BTAP - Typical Insulated Exterior Mass Wall-3,,,,,,
NECB 2011,NECB-CNEB ClimatZone 4-8,ExteriorWall,BTAP-ExteriorWall-Mass-4,Nonresidential,BTAP - Typical Insulated Exterior Mass Wall-4,,,,,,
NECB 2011,NECB-CNEB ClimatZone 4-8,ExteriorWall,BTAP-ExteriorWall-Mass-5,Nonresidential,BTAP - Typical Insulated Exterior Mass Wall-5,,,,,,
NECB 2011,NECB-CNEB ClimatZone 4-8,ExteriorWall,BTAP-ExteriorWall-Mass-6,Nonresidential,BTAP - Typical Insulated Exterior Mass Wall-6,,,,,,
NECB 2011,NECB-CNEB ClimatZone 4-8,ExteriorWall,BTAP-ExteriorWall-Mass-7,Nonresidential,BTAP - Typical Insulated Exterior Mass Wall-7,,,,,,
NECB 2011,NECB-CNEB ClimatZone 4-8,ExteriorWall,BTAP-ExteriorWall-Mass-8,Nonresidential,BTAP - Typical Insulated Exterior Mass Wall-8,,,,,,
NECB 2011,NECB-CNEB ClimatZone 4-8,ExteriorWall,BTAP-ExteriorWall-Mass-9,Nonresidential,BTAP - Typical Insulated Exterior Mass Wall-9,,,,,,
NECB 2011,NECB-CNEB ClimatZone 4-8,ExteriorWall,BTAP-ExteriorWall-Metal-1,Nonresidential,BTAP - Typical Insulated Metal Building Wall-1,,,,,,
NECB 2011,NECB-CNEB ClimatZone 4-8,ExteriorWall,BTAP-ExteriorWall-Metal-2,Nonresidential,BTAP - Typical Insulated Metal Building Wall-2,,,,,,
NECB 2011,NECB-CNEB ClimatZone 4-8,ExteriorWall,BTAP-ExteriorWall-Metal-3,Nonresidential,BTAP - Typical Insulated Metal Building Wall-3,,,,,,
NECB 2011,NECB-CNEB ClimatZone 4-8,ExteriorWall,BTAP-ExteriorWall-SteelFramed-1,Nonresidential,BTAP - Typical Insulated Steel Framed Exterior Wall-1,,,,,,
NECB 2011,NECB-CNEB ClimatZone 4-8,ExteriorWall,BTAP-ExteriorWall-WoodFramed-1,Nonresidential,BTAP -Typical Insulated Wood Framed Exterior Wall-1,,,,,,
NECB 2011,NECB-CNEB ClimatZone 4-8,ExteriorWall,BTAP-ExteriorWall-WoodFramed-2,Nonresidential,BTAP -Typical Insulated Wood Framed Exterior Wall-2,,,,,,
NECB 2011,NECB-CNEB ClimatZone 4-8,ExteriorWall,BTAP-ExteriorWall-WoodFramed-3,Nonresidential,BTAP -Typical Insulated Wood Framed Exterior Wall-3,,,,,,
NECB 2011,NECB-CNEB ClimatZone 4-8,ExteriorWall,BTAP-ExteriorWall-WoodFramed-4,Nonresidential,BTAP -Typical Insulated Wood Framed Exterior Wall-4,,,,,,
NECB 2011,NECB-CNEB ClimatZone 4-8,ExteriorWall,BTAP-ExteriorWall-WoodFramed-5,Nonresidential,BTAP -Typical Insulated Wood Framed Exterior Wall-5,,,,,,
NECB 2011,NECB-CNEB ClimatZone 4-8,GroundContactFloor,BTAP-GroundContactFloor-Unheated-1,Nonresidential,BTAP - Typical Insulated Carpeted 8in Slab Floor-1,,,,,,
NECB 2011,NECB-CNEB ClimatZone 4-8,GroundContactRoof,BTAP-GroundContactRoof-Mass-1,Nonresidential,BTAP - Typical Insulated Carpeted 6in Slab Floor,,,,,,
NECB 2011,NECB-CNEB ClimatZone 4-8,GroundContactRoof,BTAP-GroundContactRoof-Mass-2,Nonresidential,BTAP - Typical Insulated Carpeted 6in Slab Floor,,,,,,
NECB 2011,NECB-CNEB ClimatZone 4-8,GroundContactWall,BTAP-GroundContactWall-Mass-1,Nonresidential,BTAP - Typical Insulated Basement Mass Wall-1,,,,,,
NECB 2011,NECB-CNEB ClimatZone 4-8,GroundContactWall,BTAP-GroundContactWall-Mass-2,Nonresidential,BTAP - Typical Insulated Basement Mass Wall-2,,,,,,
NECB 2011,NECB-CNEB ClimatZone 4-8,ExteriorWindow,Nonmetal framing (all),Nonresidential,U 0.35 SHGC 0.35 Dbl LoE (e2-.1) Tint 6mm/13mm Air,,,0.35,,,0.4
NECB 2011,NECB-CNEB ClimatZone 4-8,ExteriorDoor,Swinging,Nonresidential,Typical Insulated Metal Door,,,0.7,,,
NECB 2011,NECB-CNEB ClimatZone 4-8,ExteriorDoor,OverheadDoor,Nonresidential,Typical Overhead Door,,,0.5,,,
NECB 2011,NECB-CNEB ClimatZone 4-8,ExteriorFloor,Mass,Nonresidential,Typical Insulated Exterior Mass Floor,,,0.064,,,
NECB 2011,NECB-CNEB ClimatZone 4-8,ExteriorRoof,Metal Building,Nonresidential,Typical Insulated Metal Building Roof,,,0.049,,,
NECB 2011,NECB-CNEB ClimatZone 4-8,ExteriorWall,Mass,Nonresidential,Typical Insulated Exterior Mass Wall,,,0.08,,,
NECB 2011,NECB-CNEB ClimatZone 4-8,ExteriorWall,WoodFramed,Nonresidential,Typical Insulated Wood Framed Exterior Wall,,,0.051,,,
NECB 2011,NECB-CNEB ClimatZone 4-8,ExteriorWindow,Metal framing (all other),Nonresidential,U 0.55 SHGC 0.31 Dbl Ref-D Tint 6mm/6mm Air,,,0.55,,,0.4
NECB 2011,NECB-CNEB ClimatZone 4-8,GroundContactFloor,Unheated,Nonresidential,Typical Insulated Carpeted 6in Slab Floor,,,,0.54,,
NECB 2011,NECB-CNEB ClimatZone 4-8,GroundContactWall,Mass,Nonresidential,Typical Insulated Carpeted 6in Slab Floor,,,,,0.119,
NECB 2011,NECB-CNEB ClimatZone 4-8,Skylight,Glass with Curb,Nonresidential,U 0.48 SHGC 0.40 Dbl Ref-D Clr 6mm/13mm,0.0,2.0,0.5,,,0.19
NECB 2011,NECB-CNEB ClimatZone 4-8,GroundContactRoof,Mass,Nonresidential,Typical Insulated Carpeted 6in Slab Floor,,,,,0.119,
NECB 2011,NECB-CNEB ClimatZone 4-8,GlassDoor,Nonmetal framing (all),Nonresidential,U 0.35 SHGC 0.35 Dbl LoE (e2-.1) Tint 6mm/13mm Air,,,0.35,,,0.4
NECB 2011,NECB-CNEB ClimatZone 4-8,TubularDaylightDome,Glass with Curb,Nonresidential,U 0.48 SHGC 0.40 Dbl Ref-D Clr 6mm/13mm,0.0,2.0,0.5,,,0.19
NECB 2011,NECB-CNEB ClimatZone 4-8,TubularDaylightDiffuser,Glass with Curb,Nonresidential,U 0.48 SHGC 0.40 Dbl Ref-D Clr 6mm/13mm,0.0,2.0,0.5,,,0.19
,,,,Nonresidential,Typical Insulated Steel Framed Exterior Floor,,,,,,
,,,,Nonresidential,Typical Insulated Wood Framed Exterior Floor,,,,,,
NECB 2011,NECB-CNEB ClimatZone 4-8,ExteriorFloor,Mass,Nonresidential,Typical Insulated Exterior Mass Floor,,,0.064,,,
