id,ventilation_primary_space_type,ventilation_secondary_space_type,ventilation_per_person,ventilation_per_person_unit,ventilation_per_area,ventilation_per_area_unit,occupancy_per_area,occupancy_per_area_unit,air_class,os,annotation
67,Outpatient Health Care Facilities,Dental operatory,10,cfm/person,0.18,cfm/ft2,20,ppl/1000 ft2,1,,
68,Outpatient Health Care Facilities,General examination room,7.5,cfm/person,0.12,cfm/ft2,20,ppl/1000 ft2,1,,
69,Outpatient Health Care Facilities,Other dental treatment areas,5,cfm/person,0.06,cfm/ft2,5,ppl/1000 ft2,1,,
70,Outpatient Health Care Facilities,Physical therapy exercise area,20,cfm/person,0.18,cfm/ft2,7,ppl/1000 ft2,2,,
71,Outpatient Health Care Facilities,Physical therapy individual room,10,cfm/person,0.06,cfm/ft2,20,ppl/1000 ft2,1,,
72,Outpatient Health Care Facilities,Physical therapeutic pool area,,cfm/person,0.48,cfm/ft2,,ppl/1000 ft2,2,,
73,Outpatient Health Care Facilities,Prosthetics and orthotics room,10,cfm/person,0.18,cfm/ft2,20,ppl/1000 ft2,1,,
74,Outpatient Health Care Facilities,Psychiatric consultation room,5,cfm/person,0.06,cfm/ft2,20,ppl/1000 ft2,1,,
75,Outpatient Health Care Facilities,Psychiatric examination room,5,cfm/person,0.06,cfm/ft2,20,ppl/1000 ft2,1,,
76,Outpatient Health Care Facilities,Psychiatric group room,5,cfm/person,0.06,cfm/ft2,50,ppl/1000 ft2,1,,
77,Outpatient Health Care Facilities,Psychiatric seclusion room,10,cfm/person,0.06,cfm/ft2,5,ppl/1000 ft2,1,,
78,Outpatient Health Care Facilities,Speech therapy room,5,cfm/person,0.06,cfm/ft2,20,ppl/1000 ft2,1,,
79,Outpatient Health Care Facilities,Urgent care examination room,7.5,cfm/person,0.12,cfm/ft2,20,ppl/1000 ft2,1,,
80,Outpatient Health Care Facilities,Urgent care observation room,5,cfm/person,0.06,cfm/ft2,20,ppl/1000 ft2,1,,
81,Outpatient Health Care Facilities,Urgent care treatment room,7.5,cfm/person,0.18,cfm/ft2,20,ppl/1000 ft2,1,,
82,Outpatient Health Care Facilities,Urgent care triage room,10,cfm/person,0.18,cfm/ft2,20,ppl/1000 ft2,1,,
83,Public Assembly Spaces,Auditorium seating area,5,cfm/person,0.06,cfm/ft2,150,ppl/1000 ft2,1,yes,
84,Public Assembly Spaces,Courtrooms,5,cfm/person,0.06,cfm/ft2,70,ppl/1000 ft2,1,yes,
85,Public Assembly Spaces,Legislative chambers,5,cfm/person,0.06,cfm/ft2,50,ppl/1000 ft2,1,yes,
86,Public Assembly Spaces,Libraries (public assembly),5,cfm/person,0.12,cfm/ft2,10,ppl/1000 ft2,1,,
87,Public Assembly Spaces,Lobbies,5,cfm/person,0.06,cfm/ft2,150,ppl/1000 ft2,1,yes,
88,Public Assembly Spaces,Museums (children's),7.5,cfm/person,0.12,cfm/ft2,40,ppl/1000 ft2,1,,
89,Public Assembly Spaces,Museums/galleries,7.5,cfm/person,0.06,cfm/ft2,40,ppl/1000 ft2,1,yes,
90,Public Assembly Spaces,Places of religious worship,5,cfm/person,0.06,cfm/ft2,120,ppl/1000 ft2,1,yes,
91,Retail,Sales (except as below),7.5,cfm/person,0.12,cfm/ft2,15,ppl/1000 ft2,2,,
92,Retail,Barbershop,7.5,cfm/person,0.06,cfm/ft2,25,ppl/1000 ft2,2,yes,
93,Retail,Beauty and nail salons,20,cfm/person,0.12,cfm/ft2,25,ppl/1000 ft2,2,,
94,Retail,Coin-operated laundries,7.5,cfm/person,0.12,cfm/ft2,20,ppl/1000 ft2,2,,
95,Retail,Mall common areas,7.5,cfm/person,0.06,cfm/ft2,40,ppl/1000 ft2,1,yes,
96,Retail,Pet shops (animal areas),7.5,cfm/person,0.18,cfm/ft2,10,ppl/1000 ft2,2,,
97,Retail,Supermarket,7.5,cfm/person,0.06,cfm/ft2,8,ppl/1000 ft2,1,yes,
98,Sports and Entertainment,Bowling alley (seating),10,cfm/person,0.12,cfm/ft2,40,ppl/1000 ft2,1,,
99,Sports and Entertainment,Disco/dance floors,20,cfm/person,0.06,cfm/ft2,100,ppl/1000 ft2,2,yes,
100,Sports and Entertainment,Gambling casinos,7.5,cfm/person,0.18,cfm/ft2,120,ppl/1000 ft2,1,,
101,Sports and Entertainment,Game arcades,7.5,cfm/person,0.18,cfm/ft2,20,ppl/1000 ft2,1,,
102,Sports and Entertainment,"Gym, sports arena (play area)",20,cfm/person,0.18,cfm/ft2,7,ppl/1000 ft2,2,,
103,Sports and Entertainment,Health club/aerobics room,20,cfm/person,0.06,cfm/ft2,40,ppl/1000 ft2,2,,
104,Sports and Entertainment,Health club/weight rooms,20,cfm/person,0.06,cfm/ft2,10,ppl/1000 ft2,2,,
105,Sports and Entertainment,Spectator areas,7.5,cfm/person,0.06,cfm/ft2,150,ppl/1000 ft2,1,yes,
106,Sports and Entertainment,"Stages, studios",10,cfm/person,0.06,cfm/ft2,70,ppl/1000 ft2,1,yes,
107,Sports and Entertainment,Swimming (pool and deck),,cfm/person,0.48,cfm/ft2,,ppl/1000 ft2,2,,
108,Transient Residential,Common corridors,,cfm/person,0.06,cfm/ft2,,ppl/1000 ft2,1,yes,
109,Transient Residential,Dwelling unit,5,cfm/person,0.06,cfm/ft2,,ppl/1000 ft2,1,yes,
