sheets,columns,Skip?
Exterior Lighting,Parking Areas and Drives (W/ft^2),
Exterior Lighting,Walkways Less Than 10ft Wide (W/ft),
Exterior Lighting,Walkways 10ft Wide or Greater (W/ft^2),
Exterior Lighting,Stairways (W/ft^2),
Exterior Lighting,Pedestrian Tunnels (W/ft^2),
Exterior Lighting,Landscaping (W/ft^2),
Exterior Lighting,Main Entries (W/ft),
Exterior Lighting,Other Doors (W/ft),
Exterior Lighting,Entry Canopies (W/ft^2),
Exterior Lighting,Loading Docks (W/ft^2),
Exterior Lighting,Sales Canopies (W/ft^2),
Exterior Lighting,Outdoor Sales Open Areas (W/ft^2),
Exterior Lighting,Outdoor Sales Street Frontage for Vehicle Sales (W/ft),
Exterior Lighting,Building Facades (W/ft^2),
Exterior Lighting,Building Facades Alt Perim (W/ft),
Exterior Lighting,Automated Teller Machines per Location (W),
Exterior Lighting,Automated Teller Machines per Machine (W),
Exterior Lighting,Entries and Gates (W/ft^2),
Exterior Lighting,Loading Areas For Emergency Vehicles (W/ft^2),
Exterior Lighting,Drive Through Windows and Doors (W),
Exterior Lighting,Parking near 24 Hour Entrances (W),
Exterior Lighting,Roadway Parking (W),
Exterior Lighting,Notes,
Refrigerated Cases,Template,
Refrigerated Cases,Size Category,
Refrigerated Cases,Case Type,
Refrigerated Cases,Case Category,
Refrigerated Cases,Case Model,
Refrigerated Cases,ft_tube_per_ft_case,
Refrigerated Cases,Latent Heat Ratio,
Refrigerated Cases,Rated runtime Fraction,
Refrigerated Cases,Case Length,
Refrigerated Cases,Case Temp,
Refrigerated Cases,Cooling Capacity per Length,
Refrigerated Cases,Evap Fan Power per Length,
Refrigerated Cases,Evap Temp,
Refrigerated Cases,Lighting per ft,
Refrigerated Cases,Fraction of Lighting Energy to Case,
Refrigerated Cases,Latent Case Credit Curve Name,YES
Refrigerated Cases,Defrost Power per Length,
Refrigerated Cases,Defrost Type,
Refrigerated Cases,Defrost Correction Type,
Refrigerated Cases,Defrost Correction Curve Name,YES
Refrigerated Cases,Anti-Sweat Power,
Refrigerated Cases,Minimum Anti-Sweat Heater Power per Unit Length,
Refrigerated Cases,Anti-Sweat Heater Control,
Refrigerated Cases,FractionofAntiSweatHeaterEnergytoCase,
Refrigerated Cases,Under Case HVAC Return Air Fraction,
Refrigerated Cases,Restocking Schedule,
Refrigerated Cases,Lighting Schedule,
Refrigerated Cases,Minutes Defrost,
Refrigerated Cases,Defrost per day,
Refrigerated Cases,Minutes Dripdown,
Refrigerated Cases,Dripdown per day,
Refrigerated Cases,Notes,
Refrigeration Compressors,Template,
Refrigeration Compressors,Compressor Name,
Refrigeration Compressors,Compressor Type,
Refrigeration Compressors,Power Curve,YES
Refrigeration Compressors,Capacity Curve,YES
Refrigeration Compressors,Rated capacity,
Refrigeration Compressors,Notes,
Refrigeration Condenser,Template,
Refrigeration Condenser,Building Type,
Refrigeration Condenser,System Type,
Refrigeration Condenser,Size Category,
Refrigeration Condenser,Subcool T,
Refrigeration Condenser,HeatRejectionCurve_C1,YES
Refrigeration Condenser,Min Airflow,
Refrigeration Condenser,Fan Power per Q Rejected,
Refrigeration Condenser,Fan Speed Control,
Refrigeration Condenser,RatedEffectiveTotalHeatRejectionRateCurve,YES
Refrigeration Condenser,Notes,
Refrigeration System,Template,
Refrigeration System,Building Type,
Refrigeration System,Size Category,
Refrigeration System,System Type,
Refrigeration System,Refrigerant,
Refrigeration System,SuctionTemperatureControlType,
Refrigeration System Lineup,Template,
Refrigeration System Lineup,Building Type,
Refrigeration System Lineup,Size Category,
Refrigeration System Lineup,System Type,
Refrigeration System Lineup,Number of display cases,
Refrigeration System Lineup,Number of walkins,
Refrigeration System Lineup,Case Type 1,
Refrigeration System Lineup,Case Type 2,
Refrigeration System Lineup,Case Type 3,
Refrigeration System Lineup,Case Type 4,
Refrigeration System Lineup,Case Type 5,
Refrigeration System Lineup,Case Type 6,
Refrigeration System Lineup,Case Type 7,
Refrigeration System Lineup,Case Type 8,
Refrigeration System Lineup,Case Type 9,
Refrigeration System Lineup,Case Type 10,
Refrigeration System Lineup,Case Type 11,
Refrigeration System Lineup,Case Type 12,
Refrigeration System Lineup,Case Type 13,
Refrigeration System Lineup,Case Type 14,
Refrigeration System Lineup,Walkin Type 1,
Refrigeration System Lineup,Walkin Type 2,
Refrigeration System Lineup,Walkin Type 3,
Refrigeration System Lineup,Walkin Type 4,
Refrigeration System Lineup,Walkin Type 5,
Refrigeration System Lineup,Walkin Type 6,
Refrigeration System Lineup,Walkin Type 7,
Refrigeration System Lineup,Walkin Type 8,
Refrigeration System Lineup,Compressor name,
Refrigeration Walkins,Template,
Refrigeration Walkins,Size Category,
Refrigeration Walkins,Walkin Type,
Refrigeration Walkins,Rated Cooling Capacity,
Refrigeration Walkins,Cooling Capacity c2,YES
Refrigeration Walkins,Cooling Capacity c1,YES
Refrigeration Walkins,Cooling Capacity c0,YES
Refrigeration Walkins,Operating Temp,
Refrigeration Walkins,Source Temp,
Refrigeration Walkins,Defrost Control Type,
Refrigeration Walkins,Defrost Type,
Refrigeration Walkins,Defrost Power Mult,
Refrigeration Walkins,Defrost Power,
Refrigeration Walkins,RatedTotalHeatingPower,
Refrigeration Walkins,RatedCirculationFanPower,
Refrigeration Walkins,Motor Category,
Refrigeration Walkins,Fan Power,
Refrigeration Walkins,Fan Power Mult,
Refrigeration Walkins,Lighting Power,
Refrigeration Walkins,Lighting Power Mult,
Refrigeration Walkins,Insulated Floor U,
Refrigeration Walkins,Insulated Surface U,
Refrigeration Walkins,Stocking Door U,
Refrigeration Walkins,Reachin Door Area Mult,
Refrigeration Walkins,Glass reachin door U value,
Refrigeration Walkins,Reachin Door Area,
Refrigeration Walkins,Total Insulated Surface Area,
Refrigeration Walkins,Height of glass reachin doors,
Refrigeration Walkins,Area of stocking doors,
Refrigeration Walkins,Floor Surface Area,
Refrigeration Walkins,Height of stocking doors,
Refrigeration Walkins,TemperatureTerminationDefrostFractiontoIce,
Refrigeration Walkins,Restocking Schedule,
Refrigeration Walkins,Lighting Schedule,
Refrigeration Walkins,Minutes Defrost,
Refrigeration Walkins,Defrost per day,
Refrigeration Walkins,Minutes Dripdown,
Refrigeration Walkins,Dripdown per day,
Refrigeration Walkins,Doorway protection type,
,,
,,
,,
,,
,,
,,
,,
,,
Space Types Lighting,Template,
Space Types Lighting,Building Type,
Space Types Lighting,Space Type,
Space Types Lighting,Lighting Standard,
Space Types Lighting,Lighting Primary Space Type,
Space Types Lighting,Lighting Secondary Space Type,
Space Types Lighting,Lighting per Area (W/ft^2),
Space Types Lighting,RCR Threshold,
Space Types Lighting,Lighting per Person (W/person),YES
Space Types Lighting,Lighting per Length (W/ft),
Space Types Lighting,Additional Lighting per Area (W/ft^2),
Space Types Lighting,Lighting Fraction to Return Air,
Space Types Lighting,Lighting Fraction Radiant,
Space Types Lighting,Lighting Fraction Visible,
Space Types Lighting,Lighting Fraction Replaceable,
Space Types Lighting,LPD Fraction Linear Fluorescent,YES
Space Types Lighting,LPD Fraction Compact Fluorescent,YES
Space Types Lighting,LPD Fraction High Bay,YES
Space Types Lighting,LPD Fraction Specialty Lighting,YES
Space Types Lighting,LPD Fraction Exit Lighting,YES
Space Types Lighting,Lighting Schedule,
Space Types Lighting,Compact Fluorescent Lighting Schedule,YES
Space Types Lighting,High Bay Lighting Schedule,YES
Space Types Lighting,Specialty Lighting Schedule,YES
Space Types Lighting,Exit Lighting Schedule,YES
Space Types Lighting,Target Illuminance Setpoint (Lux),
Space Types Lighting,PSA NonGeometry Fraction,
Space Types Lighting,SSA NonGeometry Fraction,
Space Types Lighting,Notes,
Space Types Equipment,Template,
Space Types Equipment,Building Type,
Space Types Equipment,Space Type,
Space Types Equipment,Gas Equipment per Area (Btu/hr*ft^2),
Space Types Equipment,Gas Equipment Fraction Latent,
Space Types Equipment,Gas Equipment Fraction Radiant,
Space Types Equipment,Gas Equipment Fraction Lost,
Space Types Equipment,Gas Equipment Schedule,
Space Types Equipment,Electric Equipment per Area (W/ft^2),
Space Types Equipment,Electric Equipment Fraction Latent,
Space Types Equipment,Electric Equipment Fraction Radiant,
Space Types Equipment,Electric Equipment Fraction Lost,
Space Types Equipment,Electric Equipment Schedule,
Space Types Equipment,Additional Electric Equipment Schedule,YES
Space Types Equipment,Additional Gas Equipment Schedule,YES
Space Types Equipment,Notes,
Space Types Rendering Color,Template,
Space Types Rendering Color,Building Type,
Space Types Rendering Color,Space Type,
Space Types Rendering Color,RGB,YES
Space Types Ventilation,Template,
Space Types Ventilation,Building Type,
Space Types Ventilation,Space Type,
Space Types Ventilation,Ventilation Standard,
Space Types Ventilation,Ventilation Primary Space Type,
Space Types Ventilation,Ventilation Secondary Space Type,
Space Types Ventilation,Ventilation per Area (ft^3/min*ft^2),
Space Types Ventilation,Ventilation per Person (ft^3/min*person),
Space Types Ventilation,Ventilation Air Changes (ach),
Space Types Ventilation,Minimum Total Air Changes (ach),
Space Types Ventilation,Lookup,
Space Types Ventilation,Notes,
Space Types Occupancy,Template,
Space Types Occupancy,Building Type,
Space Types Occupancy,Space Type,
Space Types Occupancy,Occupancy Standard,
Space Types Occupancy,Occupancy Primary Space Type,
Space Types Occupancy,Occupancy Secondary Space Type,
Space Types Occupancy,Occupancy per Area (people/1000 ft^2),
Space Types Occupancy,Occupancy Schedule,
Space Types Occupancy,Occupancy Activity Schedule,
Space Types Occupancy,Is Residential,
Space Types Occupancy,Lookup,
Space Types Occupancy,Notes,
Space Types Infiltration,Template,
Space Types Infiltration,Building Type,
Space Types Infiltration,Space Type,
Space Types Infiltration,Infiltration per Exterior Area (ft^3/min*ft^2 ext),
Space Types Infiltration,Infiltration per Exterior Wall Area (ft^3/min*ft^2 ext),
Space Types Infiltration,Infiltration Air Changes (ach),
Space Types Infiltration,Infiltration Schedule,
Space Types Infiltration,Infiltration Schedule Perimeter,YES
Space Types Thermostats,Template,
Space Types Thermostats,Building Type,
Space Types Thermostats,Space Type,
Space Types Thermostats,Heating Setpoint Schedule,
Space Types Thermostats,Cooling Setpoint Schedule,
Space Types SWH,Template,
Space Types SWH,Building Type,
Space Types SWH,Space Type,
Space Types SWH,Service Water Heating Peak Flow Rate (gal/h),
Space Types SWH,Service Water Heating Area (ft^2),
Space Types SWH,Service Water Heating Peak Flow per Area (gal/h*ft^2),
Space Types SWH,Service Water Heating System Type,
Space Types SWH,Booster Water Heater Fraction,
Space Types SWH,Service Water Heating Target Temperature (F),
Space Types SWH,Booster Water Heating Target Temperature (F),
Space Types SWH,Service Water Heating Fraction Sensible,
Space Types SWH,Service Water Heating Fraction Latent,
Space Types SWH,Service Water Heating Schedule,
Space Types SWH,Notes,
Space Types Exhaust,Template,
Space Types Exhaust,Building Type,
Space Types Exhaust,Space Type,
Space Types Exhaust,Exhaust per Area (cfm/ft2),
Space Types Exhaust,Exhaust per Unit (cfm),
Space Types Exhaust,Exhaust Fan Power per Area (W/ft^2),
Space Types Exhaust,Exhaust Fan Efficiency,
Space Types Exhaust,Exhaust Fan Power (W),
Space Types Exhaust,Exhaust Fan Pressure Rise (Pa),
Space Types Exhaust,Exhaust Fan Maximum Flow Rate (cfm),
Space Types Exhaust,Exhaust Availability Schedule,
Space Types Exhaust,Exhaust Flow Fraction Schedule,
Space Types Exhaust,Balanced Exhaust Fraction Schedule,
Space Types Lighting Control,Template,
Space Types Lighting Control,Building Type,
Space Types Lighting Control,Space Type,
Space Types Lighting Control,Lighting Primary Space Type,
Space Types Lighting Control,Lighting Secondary Space Type,
Space Types Lighting Control,Manual Continuous Dimming,
Space Types Lighting Control,Programmable Multilevel Dimming,
Space Types Lighting Control,Multilevel Occupancy Sensors,
Space Types Lighting Control,Occupancy Sensors,
Space Types Lighting Control,Occupancy Sensors With Personal Continuous Dimming,
Space Types Lighting Control,Automatic Multilevel Switching In Primary Sidelighted Areas,
Space Types Lighting Control,Automatic Multilevel Switching In Primary Sidelighted Areas (>23m^2),
Space Types Lighting Control,Automatic Continuous Daylight Dimming In Primary Sidelighted Areas (<23m^2),
Space Types Lighting Control,Automatic Continuous Daylight Dimming In Primary Sidelighted Areas (>23m^2),
Space Types Lighting Control,Automatic Continuous Daylight Dimming In Secondary Sidelighted Areas,
Space Types Lighting Control,Automatic Continuous Daylight Dimming In Daylighted Areas Under Skylights (<84m^2),
Space Types Lighting Control,Automatic Continuous Daylight Dimming In Daylighted Areas Under Skylights (>84m^2),
,,
,,
,,
,,
,,
,,
Schedules,Name,
Schedules,Category,
Schedules,Units,
Schedules,Day Types,
Schedules,Start Date,
Schedules,End Date,
Schedules,Type,
Schedules,Hr 1,
Schedules,Hr 2,
Schedules,Hr 3,
Schedules,Hr 4,
Schedules,Hr 5,
Schedules,Hr 6,
Schedules,Hr 7,
Schedules,Hr 8,
Schedules,Hr 9,
Schedules,Hr 10,
Schedules,Hr 11,
Schedules,Hr 12,
Schedules,Hr 13,
Schedules,Hr 14,
Schedules,Hr 15,
Schedules,Hr 16,
Schedules,Hr 17,
Schedules,Hr 18,
Schedules,Hr 19,
Schedules,Hr 20,
Schedules,Hr 21,
Schedules,Hr 22,
Schedules,Hr 23,
Schedules,Hr 24,
Schedules,Notes,
Climate Zone Sets,Name,
Climate Zone Sets,Climate Zone,
Climate Zone Sets,Climate Zone2,
Climate Zone Sets,Climate Zone3,
Climate Zone Sets,Climate Zone4,
Climate Zone Sets,Climate Zone5,
Climate Zone Sets,Climate Zone6,
Climate Zone Sets,Climate Zone7,
Climate Zone Sets,Climate Zone8,
Climate Zone Sets,Climate Zone9,
Climate Zone Sets,Climate Zone10,
Climate Zone Sets,Climate Zone11,
Climate Zone Sets,Climate Zone12,
Climate Zone Sets,Climate Zone13,
Climate Zone Sets,Climate Zone14,
Climate Zone Sets,Climate Zone15,
Climate Zone Sets,Climate Zone16,
Climate Zone Sets,Climate Zone17,
Climate Zone Sets,Climate Zone18,
Climate Zone Sets,Climate Zone19,
Climate Zone Sets,Climate Zone20,
Climate Zone Sets,Climate Zone21,
Climate Zone Sets,Climate Zone22,
Climate Zone Sets,Climate Zone23,
Climate Zone Sets,Climate Zone24,
Climate Zone Sets,Climate Zone25,
Climate Zone Sets,Climate Zone26,
Climate Zone Sets,Climate Zone27,
Climate Zone Sets,Climate Zone28,
Climate Zone Sets,Climate Zone29,
Climate Zone Sets,Climate Zone30,
Climate Zone Sets,Climate Zone31,
Climate Zone Sets,Climate Zone32,
Climate Zone Sets,Climate Zone33,
Climate Zone Sets,Climate Zone34,
Climate Zone Sets,Climate Zone35,
Climate Zone Sets,Climate Zone36,
Climate Zone Sets,Climate Zone37,
Climate Zone Sets,Climate Zone38,
Climate Zone Sets,Climate Zone39,
Climate Zones,Name,
Climate Zones,Standard,
Climate Zones,Representative City,000 (ft^2)
Climate Zones,BCL Weather Component ID,000 (ft^2)
Construction Sets,Template,000 (ft^2)
Construction Sets,Building Type,
Construction Sets,Space Type,
Construction Sets,Is Residential,
Construction Sets,Exterior Wall Standards Construction Type,
Construction Sets,Exterior Wall Building Category,
Construction Sets,Exterior Floor Standards Construction Type,
Construction Sets,Exterior Floor Building Category,
Construction Sets,Exterior Roof Standards Construction Type,
Construction Sets,Exterior Roof Building Category,
Construction Sets,Interior Walls,
Construction Sets,Interior Floors,
Construction Sets,Interior Ceilings,
Construction Sets,Ground Contact Wall Standards Construction Type,
Construction Sets,Ground Contact Wall Building Category,
Construction Sets,Ground Contact Floor Standards Construction Type,
Construction Sets,Ground Contact Floor Building Category,
Construction Sets,Ground Contact Ceiling Standards Construction Type,
Construction Sets,Ground Contact Ceiling Building Category,
Construction Sets,Exterior Fixed Window Standards Construction Type,
Construction Sets,Exterior Fixed Window Building Category,
Construction Sets,Exterior Operable Window Standards Construction Type,
Construction Sets,Exterior Operable Window Building Category,
Construction Sets,Exterior Door Standards Construction Type,
Construction Sets,Exterior Door Building Category,
Construction Sets,Exterior Glass Door Standards Construction Type,
Construction Sets,Exterior Glass Door Building Category,
Construction Sets,Exterior Overhead Door Standards Construction Type,
Construction Sets,Exterior Overhead Door Building Category,
Construction Sets,Exterior Skylight Standards Construction Type,
Construction Sets,Exterior Skylight Building Category,
Construction Sets,Tubular Daylight Domes,
Construction Sets,Tubular Daylight Diffusers,
Construction Sets,Interior Fixed Windows,
Construction Sets,Interior Operable Windows,
Construction Sets,Interior Doors,
Construction Sets,Space Shading,
Construction Sets,Building Shading,
Construction Sets,Site Shading,
Construction Sets,Interior Partitions,
Construction Sets,Notes,
Constructions,Name,
Constructions,Intended Surface Type,
Constructions,Standards Construction Type,
Constructions,Insulation Layer,
Constructions,Skylight Framing,
Constructions,Material 1,
Constructions,Material 2,
Constructions,Material 3,
Constructions,Material 4,
Constructions,Material 5,
Constructions,Material 6,
Curves,Name,
Curves,Category,
Curves,Form,
Curves,Dependent Variable,
Curves,Independent Variable 1,
Curves,Independent Variable 2,
Curves,coeff_1,
Curves,coeff_2,
Curves,coeff_3,
Curves,coeff_4,
Curves,coeff_5,
Curves,coeff_6,
Curves,coeff_7,
Curves,coeff_8,
Curves,coeff_9,
Curves,coeff_10,
Curves,Minimum Independent Variable 1,
Curves,Maximum Independent Variable 1,
Curves,Minimum Independent Variable 2,
Curves,Maximum Independent Variable 2,
Curves,Minimum Dependent Variable Output,
Curves,Maximum Dependent Variable Output,
Curves,notes,
DEER Lighting Fractions,Unnamed: 0,
DEER Lighting Fractions,LtToSpc Linear Fluorescent,
DEER Lighting Fractions,LtToSpcCompact Fluorescent,
DEER Lighting Fractions,LtToSpcHigh Bay,
DEER Lighting Fractions,LtToSpcSpeciality Lighting,
DEER Lighting Fractions,LtToSpcExit Lighting,
DEER Lighting Fractions,Return Air FractionLinear Fluorescent,
DEER Lighting Fractions,Return Air FractionCompact Fluorescent,
DEER Lighting Fractions,Return Air FractionLinear Fluorescent.1,
DEER Lighting Fractions,Return Air FractionLinear Fluorescent.2,
DEER Lighting Fractions,Return Air FractionLinear Fluorescent.3,
DEER Lighting Fractions,Radiant FractionLinear Fluorescent,
DEER Lighting Fractions,Radiant FractionCompact Fluorescent,
DEER Lighting Fractions,Radiant FractionHigh Bay,
DEER Lighting Fractions,Radiant FractionSpeciality Lighting,
DEER Lighting Fractions,Radiant FractionExit Lighting,
DEER Lighting Fractions,OthRadFracLinear Fluorescent,
DEER Lighting Fractions,OthRadFracCompact Fluorescent,
DEER Lighting Fractions,OthRadFracHigh Bay,
DEER Lighting Fractions,OthRadFracSpeciality Lighting,
DEER Lighting Fractions,OthRadFracExit Lighting,
Elevators,Template,
Elevators,Building Type,
Elevators,Elevator Type,
Elevators,Number of Elevators,
Elevators,Elevator Schedule,
Elevators,Elevator Fan Schedule,
Elevators,Area Per Passenger Elevator (ft2),
Elevators,Units Per Passenger Elevator,
Elevators,Beds Per Passenger Elevator,
Elevators,Area Per Freight Elevator (ft2),
Elevators,Units Per Freight Elevator,
Elevators,Beds Per Freight Elevator,
Elevators,Additional Passenger Elevators,
Elevators,Notes,
Energy Recovery,Template,
Energy Recovery,Climate Zone,
Energy Recovery,Under 8000 Hours,
Energy Recovery,10 to 20 Percent OA,
Energy Recovery,20 to 30 Percent OA,
Energy Recovery,30 to 40 Percent OA,
Energy Recovery,40 to 50 Percent OA,
Energy Recovery,50 to 60 Percent OA,
Energy Recovery,60 to 70 Percent OA,
Energy Recovery,70 to 80 Percent OA,
Energy Recovery,Greater Than 80 Percent OA,
Entryways,Building Type,
Entryways,Rollup Doors per 10,
Entryways,Entrance Doors per 10,
Entryways,Others Doors per 10,
Entryways,Entrance Canopies,
Entryways,Emergency Canopies,
Entryways,Canopy Size (ft^2),
Entryways,Floor Area per Drive Through Window (ft^2),
Entryways,Notes,
Fans,Name,
Fans,Type,
Fans,Pressure Rise (inH2O),
Fans,Fan Efficiency (fraction),
Fans,Motor Efficiency (fraction),
Fans,Motor In Airstream Fraction,
Fans,Fan Power Minimum Flow Rate Fraction,
Fans,Fan Power Minimum Flow Rate Input Method,
Fans,Fan Curve,
Fans,Notes,
Ground Temperatures,Building Type,
Ground Temperatures,Template,
Ground Temperatures,Climate Zone,
Ground Temperatures,Jan,
Ground Temperatures,Feb,
Ground Temperatures,Mar,
Ground Temperatures,Apr,
Ground Temperatures,May,
Ground Temperatures,Jun,
Ground Temperatures,Jul,
Ground Temperatures,Aug,
Ground Temperatures,Sep,
Ground Temperatures,Oct,
Ground Temperatures,Nov,
Ground Temperatures,Dec,
Lookups,Unnamed: 0,
Lookups,Intended Surface Type Lookup,
Lookups,Unnamed: 2,
