sheets,columns,Skip?
Prototype Inputs,DOAS OA Damper Schedule,
Prototype Inputs,DOAS Economizer Control Type,
Prototype Inputs,Elevator Type,
Prototype Inputs,Number of Elevators,
Prototype Inputs,Elevator Schedule,
Prototype Inputs,Elevator Fan Schedule,
Prototype Inputs,Nonmetal Framing (%),
Prototype Inputs,CRAC Cooling Type,
Prototype Inputs,CRAC Fan Type,
Prototype Inputs,CRAC Operation Schedule,
Prototype Inputs,CRAC OA Damper Schedule,
Climate Zones,Name,
Climate Zones,Standard,
Climate Zones,Representative City,
Climate Zones,BCL Weather Component ID,
Parking,Building Type,
Parking,Building Area Per Spot,
Parking,Units Per Spot,
Parking,Students Per Spot,
Parking,Beds Per Spot,
Parking,Parking Area Per Spot (ft^2),
Parking,Notes,
Parking,Unnamed: 7,
Parking,Unnamed: 8,
Entryways,Building Type,
Entryways,"Rollup Doors per 10,000 (ft^2)",
Entryways,"Entrance Doors per 10,000 (ft^2)",
Entryways,"Others Doors per 10,000 (ft^2)",
Entryways,Entrance Canopies,
Entryways,Emergency Canopies,
Entryways,Canopy Size (ft^2),
Entryways,Floor Area per Drive Through Window (ft^2),
Entryways,Notes,
Climate Zone Sets,Name,
Climate Zone Sets,Climate Zone,
Climate Zone Sets,Climate Zone2,
Climate Zone Sets,Climate Zone3,
Climate Zone Sets,Climate Zone4,
Climate Zone Sets,Climate Zone5,
Climate Zone Sets,Climate Zone6,
Climate Zone Sets,Climate Zone7,
Climate Zone Sets,Climate Zone8,
Climate Zone Sets,Climate Zone9,
Climate Zone Sets,Climate Zone10,
Climate Zone Sets,Climate Zone11,
Climate Zone Sets,Climate Zone12,
Climate Zone Sets,Climate Zone13,
Climate Zone Sets,Climate Zone14,
Climate Zone Sets,Climate Zone15,
Climate Zone Sets,Climate Zone16,
Climate Zone Sets,Climate Zone17,
Climate Zone Sets,Climate Zone18,
Climate Zone Sets,Climate Zone19,
Climate Zone Sets,Climate Zone20,
Climate Zone Sets,Climate Zone21,
Climate Zone Sets,Climate Zone22,
Climate Zone Sets,Climate Zone23,
Climate Zone Sets,Climate Zone24,
Climate Zone Sets,Climate Zone25,
Climate Zone Sets,Climate Zone26,
Climate Zone Sets,Climate Zone27,
Climate Zone Sets,Climate Zone28,
Climate Zone Sets,Climate Zone29,
Climate Zone Sets,Climate Zone30,
Climate Zone Sets,Climate Zone31,
Climate Zone Sets,Climate Zone32,
Climate Zone Sets,Climate Zone33,
Climate Zone Sets,Climate Zone34,
Climate Zone Sets,Climate Zone35,
Climate Zone Sets,Climate Zone36,
Climate Zone Sets,Climate Zone37,
Climate Zone Sets,Climate Zone38,
Climate Zone Sets,Climate Zone39,
Interior Lighting,VLookupColumn ,YES
Interior Lighting,Lighting Standard,YES
Interior Lighting,Primary Space Type,YES
Interior Lighting,Secondary Space Type,YES
Interior Lighting,W/ft^2,YES
Interior Lighting,W/ft,YES
Interior Lighting,Notes,YES
Occupancy,VlookupColumn,YES
Occupancy,Ventilation Standard,YES
Occupancy,Primary Space Type,YES
Occupancy,Secondary Space Type,YES
Occupancy,people/1000 ft^2,YES
Occupancy,Notes,YES
Exterior Lighting,Exterior Lighting Zone Number,
Exterior Lighting,Exerior Lighting Zone Name,
Exterior Lighting,Template,
Exterior Lighting,Control Option,
Exterior Lighting,Building Facade and Landscape Automatic Shut Off,
Exterior Lighting,Occupancy Setback Reduction (fraction),
Exterior Lighting,Base Site Allowance Power (W),
Exterior Lighting,Base Site Allowance Fraction (fraction),
Exterior Lighting,Parking Areas and Drives (W/ft^2),
Exterior Lighting,Walkways Less Than 10ft Wide (W/ft),
Exterior Lighting,Walkways 10ft Wide or Greater (W/ft^2),
Exterior Lighting,Stairways (W/ft^2),
Exterior Lighting,Pedestrian Tunnels (W/ft^2),
Exterior Lighting,Landscaping (W/ft^2),
Exterior Lighting,Main Entries (W/ft),
Exterior Lighting,Other Doors (W/ft),
Exterior Lighting,Entry Canopies (W/ft^2),
Exterior Lighting,Loading Docks (W/ft^2),
Exterior Lighting,Sales Canopies (W/ft^2),
Exterior Lighting,Outdoor Sales Open Areas (W/ft^2),
Exterior Lighting,Outdoor Sales Street Frontage for Vehicle Sales (W/ft),
Exterior Lighting,Building Facades (W/ft^2),
Exterior Lighting,Building Facades Alt Perim (W/ft),
Exterior Lighting,Automated Teller Machines per Location (W),
Exterior Lighting,Automated Teller Machines per Machine (W),
Exterior Lighting,Entries and Gates (W/ft^2),
Exterior Lighting,Loading Areas For Emergency Vehicles (W/ft^2),
Exterior Lighting,Drive Through Windows and Doors (W),
Exterior Lighting,Parking near 24 Hour Entrances (W),
Exterior Lighting,Roadway Parking (W),
Exterior Lighting,Notes,
DEER Lighting Fractions,Unnamed: 0,YES
DEER Lighting Fractions,"LtToSpc
 Linear Fluorescent",YES
DEER Lighting Fractions,"LtToSpc
 Compact Fluorescent",YES
DEER Lighting Fractions,"LtToSpc
 High Bay",YES
DEER Lighting Fractions,"LtToSpc
 Speciality Lighting",YES
DEER Lighting Fractions,"LtToSpc
 Exit Lighting",YES
DEER Lighting Fractions,"Return Air Fraction
 Linear Fluorescent",YES
DEER Lighting Fractions,"Return Air Fraction
 Compact Fluorescent",YES
DEER Lighting Fractions,"Return Air Fraction
 Linear Fluorescent.1",YES
DEER Lighting Fractions,"Return Air Fraction
 Linear Fluorescent.2",YES
DEER Lighting Fractions,"Return Air Fraction
 Linear Fluorescent.3",YES
DEER Lighting Fractions,"Radiant Fraction
 Linear Fluorescent",YES
DEER Lighting Fractions,"Radiant Fraction
 Compact Fluorescent",YES
DEER Lighting Fractions,"Radiant Fraction
 High Bay",YES
DEER Lighting Fractions,"Radiant Fraction
 Speciality Lighting",YES
DEER Lighting Fractions,"Radiant Fraction
 Exit Lighting",YES
DEER Lighting Fractions,"OthRadFrac
 Linear Fluorescent",YES
DEER Lighting Fractions,"OthRadFrac
 Compact Fluorescent",YES
DEER Lighting Fractions,"OthRadFrac
 High Bay",YES
DEER Lighting Fractions,"OthRadFrac
 Speciality Lighting",YES
DEER Lighting Fractions,"OthRadFrac
 Exit Lighting",YES
Ventilation,VlookupColumn,YES
Ventilation,Ventilation Standard,YES
Ventilation,Primary Space Type,YES
Ventilation,Secondary Space Type,YES
Ventilation,ft^3/min*person ,YES
Ventilation,ft^3/min*ft^2 ,YES
Ventilation,ach,YES
Ventilation,Notes,YES
Space Types,Template,
Space Types,Building Type,
Space Types,Space Type,
Space Types,RGB,
Space Types,Lighting Standard,
Space Types,Lighting Primary Space Type,
Space Types,Lighting Secondary Space Type,
Space Types,LookupColumn,YES
Space Types,Lighting per Area (W/ft^2),
Space Types,Lighting per Person (W/person),
Space Types,Lighting per Length (W/ft),YES
Space Types,Additional Lighting per Area (W/ft^2),
Space Types,Lighting Fraction to Return Air,
Space Types,Lighting Fraction Radiant,
Space Types,Lighting Fraction Visible,
Space Types,Lighting Fraction Replaceable,
Space Types,"LPD Fraction
Linear Fluorescent",
Space Types,"LPD Fraction
Compact Fluorescent",
Space Types,"LPD Fraction
High Bay",
Space Types,"LPD Fraction
Specialty Lighting",
Space Types,"LPD Fraction
Exit Lighting",
Space Types,Lighting Schedule,
Space Types,Compact Fluorescent Lighting Schedule,
Space Types,High Bay Lighting Schedule,
Space Types,Specialty Lighting Schedule,
Space Types,Exit Lighting Schedule,
Space Types,Target Illuminance Setpoint (Lux),
Space Types,SSA NonGeometry Fraction,
Space Types,Ventilation Standard,
Space Types,Ventilation Primary Space Type,
Space Types,Ventilation Secondary Space Type,
Space Types,Lookup,YES
Space Types,Ventilation per Area (ft^3/min*ft^2),
Space Types,Ventilation per Person (ft^3/min*person),
Space Types,Ventilation Air Changes (ach),
Space Types,Minimum Total Air Changes (ach),
Space Types,Occupancy Standard,
Space Types,Occupancy Primary Space Type,YES
Space Types,Occupancy Secondary Space Type,YES
Space Types,Occupancy per Area (people/1000 ft^2),
Space Types,Occupancy Schedule,
Space Types,Occupancy Activity Schedule,
Space Types,Infiltration per Exterior Area (ft^3/min*ft^2 ext),
Space Types,Infiltration per Exterior Wall Area (ft^3/min*ft^2 ext),
Space Types,Infiltration Air Changes (ach),
Space Types,Infiltration Schedule,
Space Types,Infiltration Schedule Perimeter,
Space Types,Gas Equipment per Area (Btu/hr*ft^2),
Space Types,Gas Equipment Fraction Latent,
Space Types,Gas Equipment Fraction Radiant,
Space Types,Gas Equipment Fraction Lost,
Space Types,Gas Equipment Schedule,
Space Types,Electric Equipment per Area (W/ft^2),
Space Types,Electric Equipment Fraction Latent,
Space Types,Electric Equipment Fraction Radiant,
Space Types,Electric Equipment Fraction Lost,
Space Types,Electric Equipment Schedule,
Space Types,Additional Electric Equipment Schedule,
Space Types,Additional Gas Equipment Schedule,
Space Types,Heating Setpoint Schedule,
Space Types,Cooling Setpoint Schedule,
Space Types,Service Water Heating Peak Flow Rate (gal/h),
Space Types,Service Water Heating Area (ft^2),
Space Types,Service Water Heating Peak Flow per Area (gal/h*ft^2),
Space Types,Service Water Heating System Type,
Space Types,Booster Water Heater Fraction,
Space Types,Service Water Heating Target Temperature (F),
Space Types,Booster Water Heating Target Temperature (F),
Space Types,Service Water Heating Fraction Sensible,
Space Types,Service Water Heating Fraction Latent,
Space Types,Service Water Heating Schedule,
Space Types,Exhaust per Area (cfm/ft2),
Space Types,Exhaust per Unit (cfm),YES
Space Types,Exhaust Fan Power per Area (W/ft^2),YES
Space Types,Exhaust Fan Efficiency,
Space Types,Exhaust Fan Power (W),
Space Types,Exhaust Fan Pressure Rise (Pa),
Space Types,Exhaust Fan Maximum Flow Rate (cfm),
Space Types,Exhaust Schedule,
Space Types,Balanced Exhaust Fraction Schedule,
Space Types,Is Residential,
Space Types,NECB HVAC System Selection Type,
Space Types,NECB Schedule Type,
Space Types,Notes,
Schedules,Name,
Schedules,Category,
Schedules,Units,
Schedules,Day Types,
Schedules,Start Date,
Schedules,End Date,
Schedules,Type,
Schedules,Hr 1,
Schedules,Hr 2,
Schedules,Hr 3,
Schedules,Hr 4,
Schedules,Hr 5,
Schedules,Hr 6,
Schedules,Hr 7,
Schedules,Hr 8,
Schedules,Hr 9,
Schedules,Hr 10,
Schedules,Hr 11,
Schedules,Hr 12,
Schedules,Hr 13,
Schedules,Hr 14,
Schedules,Hr 15,
Schedules,Hr 16,
Schedules,Hr 17,
Schedules,Hr 18,
Schedules,Hr 19,
Schedules,Hr 20,
Schedules,Hr 21,
Schedules,Hr 22,
Schedules,Hr 23,
Schedules,Hr 24,
Schedules,Notes,
Materials,Name,
Materials,Material Type,
Materials,Roughness,
Materials,Thickness (in),
Materials,Conductivity (Btu*in/hr*ft^2*F),
Materials,Resistance (hr*ft^2*F/Btu),
Materials,Density (lb/ft^3),
Materials,Specific Heat (Btu/lbm*F),
Materials,Thermal Absorptance,
Materials,Solar Absorptance,
Materials,Visible Absorptance,
Materials,Gas Type,
Materials,U-Factor (Btu/hr*ft^2*F),
Materials,Solar Heat Gain Coefficient,
Materials,Visible Transmittance,
Materials,Optical Data Type,
Materials,Solar Transmittance At Normal Incidence,
Materials,Front Side Solar Reflectance At Normal Incidence,
Materials,Back Side Solar Reflectance At Normal Incidence,
Materials,Visible Transmittance At Normal Incidence,
Materials,Front Side Visible Reflectance At Normal Incidence,
Materials,Back Side Visible Reflectance At Normal Incidence,
Materials,Infrared Transmittance At Normal Incidence,
Materials,Front Side Infrared Hemispherical Emissivity,
Materials,Back Side Infrared Hemispherical Emissivity,
Materials,Dirt Correction Factor For Solar And Visible Transmittance,
Materials,Solar Diffusing,
Materials,Frame width (in),
Materials,Material Standard,
Materials,Material Standard Source,
Materials,Code Category,
Materials,Code Identifier,
Materials,Framing Material,
Materials,Framing Configuration,
Materials,Framing Depth,
Materials,Framing Size,
Materials,Cavity Insulation (hr*ft^2*F/Btu),
Materials,Notes,
Constructions,Name,
Constructions,Intended Surface Type,
Constructions,Standards Construction Type,
Constructions,Insulation Layer,
Constructions,Skylight Framing,
Constructions,Material 1,
Constructions,Material 2,
Constructions,Material 3,
Constructions,Material 4,
Constructions,Material 5,
Constructions,Material 6,
Construction Sets,Template,
Construction Sets,Building Type,
Construction Sets,Space Type,
Construction Sets,Is Residential,
Construction Sets,Exterior Wall Standards Construction Type,
Construction Sets,Exterior Wall Building Category,
Construction Sets,Exterior Floor Standards Construction Type,
Construction Sets,Exterior Floor Building Category,
Construction Sets,Exterior Roof Standards Construction Type,
Construction Sets,Exterior Roof Building Category,
Construction Sets,Interior Walls,
Construction Sets,Interior Floors,
Construction Sets,Interior Ceilings,
Construction Sets,Ground Contact Wall Standards Construction Type,
Construction Sets,Ground Contact Wall Building Category,
Construction Sets,Ground Contact Floor Standards Construction Type,
Construction Sets,Ground Contact Floor Building Category,
Construction Sets,Ground Contact Ceiling Standards Construction Type,
Construction Sets,Ground Contact Ceiling Building Category,
Construction Sets,Exterior Fixed Window Standards Construction Type,
Construction Sets,Exterior Fixed Window Building Category,
Construction Sets,Exterior Operable Window Standards Construction Type,
Construction Sets,Exterior Operable Window Building Category,
Construction Sets,Exterior Door Standards Construction Type,
Construction Sets,Exterior Door Building Category,
Construction Sets,Exterior Glass Door Standards Construction Type,
Construction Sets,Exterior Glass Door Building Category,
Construction Sets,Exterior Overhead Door Standards Construction Type,
Construction Sets,Exterior Overhead Door Building Category,
Construction Sets,Exterior Skylight Standards Construction Type,
Construction Sets,Exterior Skylight Building Category,
Construction Sets,Tubular Daylight Domes,
Construction Sets,Tubular Daylight Diffusers,
Construction Sets,Interior Fixed Windows,
Construction Sets,Interior Operable Windows,
Construction Sets,Interior Doors,
Construction Sets,Space Shading,
Construction Sets,Building Shading,
Construction Sets,Site Shading,
Construction Sets,Interior Partitions,
Construction Sets,Notes,
Construction Properties,Template,
Construction Properties,Climate Zone Set,
Construction Properties,Operation Type,
Construction Properties,Intended Surface Type,
Construction Properties,Standards Construction Type,
Construction Properties,Building Category,
Construction Properties,Construction,
Construction Properties,Orientation,
Construction Properties,Minimum Percent of Surface,
Construction Properties,Maximum Percent of Surface,
Construction Properties,Assembly Maximum U-Value,
Construction Properties,U-Value Includes Interior Film Coefficient,
Construction Properties,U-Value Includes Exterior Film Coefficient,
Construction Properties,Assembly Maximum F Factor,
Construction Properties,Assembly Maximum C Factor,
Construction Properties,Assembly Maximum Solar Heat Gain Coefficient,
Construction Properties,Assembly Minimum VT SHGC,
Construction Properties,Notes,
Window Types and Weights,Unnamed: 0,YES
Window Types and Weights,Fixed,YES
Window Types and Weights,Operable (not including entrance doors),YES
Window Types and Weights,Nonmetal,YES
Window Types and Weights,Metal Curtainwall / Storefront,YES
Window Types and Weights,Metal Entrance Door,YES
Window Types and Weights,Metal - all other,YES
Window Types and Weights,U,YES
Window Types and Weights,SHGC,YES
Boilers,Template,
Boilers,Fluid Type,
Boilers,Fuel Type,
Boilers,Condensing,
Boilers,Condensing Control,
Boilers,Minimum Capacity (Btu/hr),
Boilers,Maximum Capacity (Btu/hr),
Boilers,Start Date,
Boilers,End Date,
Boilers,Minimum Annual Fuel Utilization Efficiency (AFUE),
Boilers,Minimum Thermal Efficiency (%),
Boilers,Minimum Combustion Efficiency (%),
Boilers,EFFFPLR,
Boilers,Notes,
Chillers,Template,
Chillers,Cooling Type,
Chillers,Condenser Type,
Chillers,Compressor Type,
Chillers,Absorption Type,
Chillers,Variable Speed Drive,
Chillers,Minimum Capacity (Tons),
Chillers,Maximum Capacity (Tons),
Chillers,Start Date,
Chillers,End Date,
Chillers,Minimum Full Load Efficiency (kW/ton),
Chillers,Minimum Integrated Part Load Value (kW/ton),
Chillers,CAPFT,
Chillers,EIRFT,
Chillers,EIRFPLR,
Chillers,Notes,
Heat Rejection,Template,
Heat Rejection,Equipment Type,
Heat Rejection,Fan Type,
Heat Rejection,Start Date,
Heat Rejection,End Date,
Heat Rejection,Minimum Performance (gal/min*hp),
Heat Rejection,Notes,
Heat Pumps,Template,
Heat Pumps,Cooling Type,
Heat Pumps,Heating Type,
Heat Pumps,Subcategory,
Heat Pumps,Minimum Capacity (Btu/hr),
Heat Pumps,Maximum Capacity (Btu/hr),
Heat Pumps,Start Date,
Heat Pumps,End Date,
Heat Pumps,Minimum Seasonal Efficiency (SEER),
Heat Pumps,Minimum Full Load Efficiency (EER),
Heat Pumps,Minimum IPLV,
Heat Pumps,Minimum Integrated Energy Efficiency Ratio (IEER),
Heat Pumps,PTHP_EER_Coefficient_1,
Heat Pumps,PTHP_EER_Coefficient_2,
Heat Pumps,COOL CAP FT,
Heat Pumps,COOL CAP FFLOW,
Heat Pumps,COOL EIR FT,
Heat Pumps,COOL EIR FFLOW,
Heat Pumps,COOL PLF FPLR,
Heat Pumps,Notes,
Heat Pumps Heating,Template,
Heat Pumps Heating,Cooling Type,
Heat Pumps Heating,Subcategory,
Heat Pumps Heating,Minimum Capacity (Btu/hr),
Heat Pumps Heating,Maximum Capacity (Btu/hr),
Heat Pumps Heating,Start Date,
Heat Pumps Heating,End Date,
Heat Pumps Heating,Minimum Heating Seasonal Performance Factor,
Heat Pumps Heating,Minimum Coefficient of Performance Heating (COP_47F),
Heat Pumps Heating,Minimum Energy Efficiency Ratio (EER),
Heat Pumps Heating,PTHP_COP_Coefficient_1,
Heat Pumps Heating,PTHP_COP_Coefficient_2,
Heat Pumps Heating,HEAT CAP FT,
Heat Pumps Heating,HEAT CAP FFLOW,
Heat Pumps Heating,HEAT EIR FT,
Heat Pumps Heating,HEAT EIR FFLOW,
Heat Pumps Heating,HEAT PLF FPLR,
Heat Pumps Heating,Notes,
Unitary ACs,Template,
Unitary ACs,Cooling Type,
Unitary ACs,Heating Type,
Unitary ACs,Subcategory,
Unitary ACs,Minimum Capacity (Btu/hr),
Unitary ACs,Maximum Capacity (Btu/hr),
Unitary ACs,Start Date,
Unitary ACs,End Date,
Unitary ACs,Minimum Seasonal Energy Efficiency Ratio (SEER),
Unitary ACs,Minimum Energy Efficiency Ratio (EER),
Unitary ACs,Minimum Integrated Part Load Value (kW/ton),
Unitary ACs,Minimum Integrated Energy Efficiency Ratio (IEER),
Unitary ACs,PTAC_EER_Coefficient_1,
Unitary ACs,PTAC_EER_Coefficient_2,
Unitary ACs,Minimum SCOP,
Unitary ACs,COOL CAP FT,
Unitary ACs,COOL CAP FFLOW,
Unitary ACs,COOL EIR FT,
Unitary ACs,COOL EIR FFLOW,
Unitary ACs,COOL PLF FPLR,
Unitary ACs,Notes,
Water Heaters,Template,
Water Heaters,Fuel Type,
Water Heaters,Minimum Capacity (Btu/hr),
Water Heaters,Maximum Capacity (Btu/hr),
Water Heaters,Start Date,
Water Heaters,End Date,
Water Heaters,Energy Factor Base (%),
Water Heaters,Energy Factor Volume Derate (%/gal),
Water Heaters,Standby Loss Base (Btu/hr),
Water Heaters,Standby Loss Capacity Allowance (Btu/hr/Btu/hr),
Water Heaters,Standby Loss Volume Allowance (Btu/hr/gal),
Water Heaters,Hourly Loss Base (%),
Water Heaters,Hourly Loss Volume Allowance (%/gal),
Water Heaters,Thermal Efficiency (%),
Water Heaters,Notes,
Refrigeration System Lineup,Template,
Refrigeration System Lineup,Building Type,
Refrigeration System Lineup,Size Category,
Refrigeration System Lineup,System Type,
Refrigeration System Lineup,Number of display cases,
Refrigeration System Lineup,Number of walkins,
Refrigeration System Lineup,Case Type 1,
Refrigeration System Lineup,Case Type 2,
Refrigeration System Lineup,Case Type 3,
Refrigeration System Lineup,Case Type 4,
Refrigeration System Lineup,Case Type 5,
Refrigeration System Lineup,Case Type 6,
Refrigeration System Lineup,Case Type 7,
Refrigeration System Lineup,Case Type 8,
Refrigeration System Lineup,Case Type 9,
Refrigeration System Lineup,Case Type 10,
Refrigeration System Lineup,Case Type 11,
Refrigeration System Lineup,Case Type 12,
Refrigeration System Lineup,Case Type 13,
Refrigeration System Lineup,Case Type 14,
Refrigeration System Lineup,Walkin Type 1,
Refrigeration System Lineup,Walkin Type 2,
Refrigeration System Lineup,Walkin Type 3,
Refrigeration System Lineup,Walkin Type 4,
Refrigeration System Lineup,Walkin Type 5,
Refrigeration System Lineup,Walkin Type 6,
Refrigeration System Lineup,Walkin Type 7,
Refrigeration System Lineup,Walkin Type 8,
Refrigeration System Lineup,Compressor name,
Refrigeration System,Template,
Refrigeration System,Building Type,
Refrigeration System,Size Category,
Refrigeration System,System Type,
Refrigeration System,Refrigerant,
Refrigeration System,SuctionTemperatureControlType,
Refrigerated Cases,Template,
Refrigerated Cases,Size Category,
Refrigerated Cases,Case Type,
Refrigerated Cases,Case Category,
Refrigerated Cases,Case Model,
Refrigerated Cases,ft_tube_per_ft_case,
Refrigerated Cases,Latent Heat Ratio,
Refrigerated Cases,Rated runtime Fraction,
Refrigerated Cases,Case Length,
Refrigerated Cases,Case Temp,
Refrigerated Cases,Cooling Capacity per Length,
Refrigerated Cases,Evap Fan Power per Length,
Refrigerated Cases,Evap Temp,
Refrigerated Cases,Lighting per ft,
Refrigerated Cases,Fraction of Lighting Energy to Case,
Refrigerated Cases,Latent Case Credit Curve Name,
Refrigerated Cases,Defrost Power per Length,
Refrigerated Cases,Defrost Type,
Refrigerated Cases,Defrost Correction Type,
Refrigerated Cases,Defrost Correction Curve Name,
Refrigerated Cases,Anti-Sweat Power,
Refrigerated Cases,Minimum Anti-Sweat Heater Power per Unit Length,
Refrigerated Cases,Anti-Sweat Heater Control,
Refrigerated Cases,FractionofAntiSweatHeaterEnergytoCase,
Refrigerated Cases,Restocking Schedule,
Refrigerated Cases,Lighting Schedule,
Refrigerated Cases,Minutes Defrost,
Refrigerated Cases,Defrost per day,
Refrigerated Cases,Minutes Dripdown,
Refrigerated Cases,Dripdown per day,
Refrigerated Cases,Notes,
Refrigeration Walkins,Template,
Refrigeration Walkins,Size Category,
Refrigeration Walkins,Walkin Type,
Refrigeration Walkins,Rated Cooling Capacity,
Refrigeration Walkins,Cooling Capacity c2,
Refrigeration Walkins,Cooling Capacity c1,
Refrigeration Walkins,Cooling Capacity c0,
Refrigeration Walkins,Operating Temp,
Refrigeration Walkins,Source Temp,
Refrigeration Walkins,Defrost Control Type,
Refrigeration Walkins,Defrost Type,
Refrigeration Walkins,Defrost Power Mult,
Refrigeration Walkins,Defrost Power,
Refrigeration Walkins,RatedTotalHeatingPower,
Refrigeration Walkins,RatedCirculationFanPower,
Refrigeration Walkins,Motor Category,
Refrigeration Walkins,Fan Power,
Refrigeration Walkins,Fan Power Mult,
Refrigeration Walkins,Lighting Power,
Refrigeration Walkins,Lighting Power Mult,
Refrigeration Walkins,Insulated Floor U,
Refrigeration Walkins,Insulated Surface U,
Refrigeration Walkins,Stocking Door U,
Refrigeration Walkins,Reachin Door Area Mult,
Refrigeration Walkins,Glass reachin door U value,
Refrigeration Walkins,Reachin Door Area,
Refrigeration Walkins,Total Insulated Surface Area,
Refrigeration Walkins,Height of glass reachin doors,
Refrigeration Walkins,Area of stocking doors,
Refrigeration Walkins,Floor Surface Area,
Refrigeration Walkins,Height of stocking doors,
Refrigeration Walkins,TemperatureTerminationDefrostFractiontoIce,
Refrigeration Walkins,Restocking Schedule,
Refrigeration Walkins,Lighting Schedule,
Refrigeration Walkins,Minutes Defrost,
Refrigeration Walkins,Defrost per day,
Refrigeration Walkins,Minutes Dripdown,
Refrigeration Walkins,Dripdown per day,
Refrigeration Walkins,Doorway protection type,
Refrigeration Condenser,Template,
Refrigeration Condenser,Building Type,
Refrigeration Condenser,System Type,
